                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9239,                 3.3595,                 5.0689,                 1.9749,                0.00613,                0.72273,                0.08269,                0.03814,                0.00107,                0.11263,                0.00241,                0.00032,                 1.7228,                 2.3042,                 4.5499,                 2.3635,             0.00021671,             0.00021671,             0.00021671
                      1,                 1.4257,                 1.1206,                 3.9539,                 1.5863,                0.00677,                0.81263,                0.15127,                 0.0713,                0.00599,                0.63838,                0.12722,                 0.0329,                 1.5525,                 0.8803,                 4.3723,                 2.0199,             0.00036097,             0.00036097,             0.00036097
                      2,                 1.3913,                0.96346,                 3.6295,                 1.5179,                0.00521,                0.74545,                0.19817,                0.08719,                0.00579,                0.81717,                0.22486,                0.08449,                 1.7015,                 0.6119,                  4.506,                 2.2197,             0.00041282,             0.00041282,             0.00041282
                      3,                 1.3136,                0.84792,                 3.4041,                 1.4166,                0.72935,                0.10981,                0.25552,                0.12859,                0.76753,                 0.1171,                0.27558,                0.11679,                 1.5215,                0.62278,                 4.1509,                 1.9115,             0.00037224,             0.00037224,             0.00037224
                      4,                 1.2342,                0.89274,                 3.1044,                 1.3577,                0.47048,                0.32092,                0.33502,                0.14747,                0.40922,                0.28535,                0.27914,                0.10241,                  1.486,                0.55109,                 3.7562,                 1.7732,             0.00023925,             0.00023925,             0.00023925
