                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1102,                 3.1959,                  3.922,                 1.9144,                0.00605,                 0.8904,                0.08751,                0.03516,                 0.0027,                0.38586,                0.02309,                0.00375,                 1.6519,                 1.1354,                 3.5107,                 1.7937,             0.00021671,             0.00021671,             0.00021671
                      1,                 1.5399,                  1.253,                 2.8057,                 1.3866,                0.00624,                0.91364,                0.11449,                0.05396,                0.00452,                0.62727,                 0.0789,                0.02371,                   1.77,                0.83512,                 3.3703,                 1.7572,             0.00043524,             0.00043524,             0.00043524
                      2,                  1.558,                  1.082,                 2.6141,                  1.419,                0.00603,                0.89444,                0.12249,                0.05302,                0.00288,                0.40253,                0.06378,                0.01241,                 1.6812,                 1.0366,                 3.3175,                 1.6713,             0.00063836,             0.00063836,             0.00063836
                      3,                 1.5139,                0.98666,                 2.5155,                 1.3803,                 0.0998,                0.16667,                0.08685,                0.03833,                 0.0998,                0.16667,                0.06199,                0.01463,                  1.822,                0.94021,                 3.2806,                 1.8897,             0.00082608,             0.00082608,             0.00082608
                      4,                 1.4923,                  1.055,                  2.354,                  1.378,                0.44212,                0.18879,                0.21417,                0.09939,                0.34274,                0.13796,                0.15871,                0.03724,                 1.7821,                 1.1515,                 3.0382,                 1.7897,              0.0009984,              0.0009984,              0.0009984
                      5,                 1.5084,                 1.0473,                 2.2772,                 1.3651,                0.33209,                0.14729,                0.13042,                0.04698,                 0.6546,                 0.0645,                0.07405,                0.01997,                 2.0204,                  1.056,                 3.3785,                 2.1146,              0.0011553,              0.0011553,              0.0011553
                      6,                 1.5006,                 1.0194,                 2.1623,                 1.3404,                0.26292,                0.36236,                0.18697,                0.08027,                0.16082,                 0.2404,                0.09315,                0.02841,                 1.8762,                0.79178,                  3.153,                 1.7941,              0.0012968,              0.0012968,              0.0012968
                      7,                 1.4351,                0.91613,                 2.0962,                  1.311,                0.33236,                0.43232,                0.23391,                0.11028,                0.23118,                0.38838,                0.14867,                0.04467,                 1.7238,                0.70209,                 2.7802,                 1.5703,              0.0012819,              0.0012819,              0.0012819
                      8,                 1.4878,                0.95002,                 2.0011,                 1.3193,                0.25318,                0.48756,                0.29441,                0.15335,                0.20937,                0.42525,                0.21233,                 0.0632,                 1.5846,                0.65052,                 2.5558,                 1.5199,              0.0012819,              0.0012819,              0.0012819
                      9,                  1.342,                0.98149,                 1.8667,                 1.2371,                0.41089,                 0.5601,                 0.4908,                0.28554,                 0.2665,                0.38494,                 0.2663,                0.08421,                 1.5131,                0.59439,                 2.6024,                 1.4477,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.2782,                0.91541,                 1.7383,                 1.2077,                0.66483,                0.29406,                0.29762,                0.16766,                0.47035,                 0.2914,                0.23118,                0.06873,                 1.6042,                0.61966,                 2.9661,                 1.5864,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.2973,                0.94053,                 1.7314,                 1.2078,                0.44744,                 0.4564,                0.43606,                0.23959,                0.36014,                 0.3798,                0.31196,                0.06276,                 1.4532,                0.62772,                 2.2599,                 1.3971,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.1649,                0.88925,                  1.558,                 1.1391,                0.43537,                0.63416,                0.51254,                0.30116,                0.39566,                0.33081,                0.31727,                0.08962,                 1.3113,                0.60005,                 1.8861,                 1.2957,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.2022,                0.86071,                 1.6042,                 1.1458,                 0.5947,                0.61769,                0.58986,                0.36904,                0.49802,                 0.4071,                0.37341,                0.10694,                 1.1725,                0.54957,                 1.8522,                 1.2037,              0.0010069,              0.0010069,              0.0010069
                     14,                 1.0913,                0.78767,                 1.4141,                 1.0864,                0.63003,                0.57677,                 0.6303,                0.39047,                0.47503,                0.52172,                0.43772,                0.11974,                 1.1864,                0.56362,                 1.7236,                 1.2221,             0.00095186,             0.00095186,             0.00095186
                     15,                  1.127,                 0.8723,                 1.4265,                 1.1124,                0.48998,                0.64091,                0.58159,                0.36395,                0.51985,                  0.386,                0.40869,                0.13029,                  1.209,                0.55034,                 1.7029,                  1.233,             0.00089685,             0.00089685,             0.00089685
                     16,                 1.0651,                0.76476,                 1.3003,                 1.0765,                0.71663,                0.55202,                0.66295,                0.45373,                 0.3707,                0.42929,                0.37906,                0.10378,                 1.0937,                0.52007,                 1.5559,                 1.1616,             0.00084184,             0.00084184,             0.00084184
                     17,                 1.0684,                0.78174,                 1.2919,                 1.0867,                0.70377,                0.68904,                0.75301,                0.52671,                0.65456,                0.51818,                0.55387,                0.17381,                 1.0168,                0.53093,                 1.3346,                 1.0977,             0.00078682,             0.00078682,             0.00078682
                     18,                 1.0199,                0.78496,                 1.2479,                 1.0491,                0.75993,                0.65867,                0.71092,                0.47346,                0.51668,                0.45101,                0.40941,                0.11563,                 1.1359,                0.51345,                 1.5164,                 1.1664,             0.00073181,             0.00073181,             0.00073181
                     19,                0.99455,                0.76865,                 1.1483,                 1.0474,                0.75013,                0.74911,                0.79717,                0.57045,                0.56184,                0.55196,                 0.5091,                0.16593,                 1.0174,                0.51375,                 1.2471,                 1.0843,              0.0006768,              0.0006768,              0.0006768
                     20,                  0.966,                0.66262,                 1.3833,                 1.0456,                 0.7119,                 0.6619,                0.73121,                0.50222,                0.53207,                0.44792,                0.42785,                0.14558,                 1.0758,                0.49114,                 1.5004,                 1.1194,             0.00062179,             0.00062179,             0.00062179
                     21,                0.95124,                0.69975,                 1.3627,                 1.0395,                0.68256,                0.80805,                0.78242,                0.56905,                0.44028,                0.54949,                0.41028,                0.11928,                0.89648,                0.49307,                 1.2295,                 1.0347,             0.00056678,             0.00056678,             0.00056678
                     22,                0.95383,                0.68301,                 1.2708,                 1.0307,                 0.6997,                0.75657,                0.77155,                0.55458,                0.49625,                 0.5303,                0.44627,                0.15719,                0.96088,                0.48968,                 1.2203,                 1.0713,             0.00051177,             0.00051177,             0.00051177
                     23,                0.94108,                0.62866,                 1.2524,                 1.0177,                0.71395,                0.77172,                0.81356,                0.59874,                0.64344,                0.41746,                0.45869,                0.15056,                0.90746,                0.49571,                 1.1667,                 1.0293,             0.00045676,             0.00045676,             0.00045676
                     24,                0.94274,                0.73975,                 1.2862,                 1.0152,                0.72575,                0.72729,                0.75908,                0.56012,                0.44638,                0.47735,                0.43907,                0.13681,                0.88504,                0.47634,                 1.2753,                 1.0212,             0.00040175,             0.00040175,             0.00040175
                     25,                0.85929,                0.58847,                 1.1835,                 0.9929,                0.79916,                0.73812,                0.82045,                0.61457,                0.51252,                0.54545,                0.46788,                0.16607,                0.89332,                 0.4652,                 1.1638,                 1.0527,             0.00034674,             0.00034674,             0.00034674
                     26,                 0.8263,                0.56768,                 1.0927,                0.96281,                 0.8104,                0.84794,                0.88223,                0.68036,                0.57862,                0.53099,                0.50178,                0.18278,                0.80895,                0.46345,                 1.0356,                0.99732,             0.00029172,             0.00029172,             0.00029172
                     27,                0.81001,                 0.5633,                 1.0912,                 0.9738,                0.84223,                0.86254,                0.88608,                0.70767,                0.58824,                0.60556,                  0.518,                0.17895,                0.77035,                0.45926,                0.99658,                0.97281,             0.00023671,             0.00023671,             0.00023671
                     28,                0.74305,                0.53046,                 1.0293,                0.93239,                0.82546,                0.79747,                 0.8608,                0.67729,                0.59817,                0.57525,                0.51317,                0.16471,                0.76838,                0.44868,                 1.0499,                0.97006,              0.0001817,              0.0001817,              0.0001817
                     29,                0.72361,                0.57733,                 1.0172,                0.93322,                0.81687,                0.83478,                0.87624,                0.68672,                0.58039,                0.57525,                0.51289,                0.16227,                0.75322,                0.44049,                 1.0224,                0.96431,             0.00012669,             0.00012669,             0.00012669
