                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2418,                 2.7442,                 4.3583,                 2.1773,                0.00567,                0.81162,                0.10562,                0.04154,                0.00456,                0.61818,                0.04281,                0.00885,                 1.6662,                 1.2276,                 3.5034,                  1.706,             0.00021671,             0.00021671,             0.00021671
                      1,                 1.5764,                0.94013,                 3.0894,                 1.5339,                0.00576,                0.85657,                0.25477,                 0.1518,                0.00577,                0.84949,                0.26468,                0.08308,                  1.359,                 0.8714,                 3.2056,                 1.4487,             0.00040553,             0.00040553,             0.00040553
                      2,                 1.4587,                0.82614,                 2.7866,                 1.3585,                0.00617,                0.89848,                0.26985,                0.13433,                0.00618,                0.89495,                0.29255,                 0.1119,                 1.5545,                0.77562,                 3.1277,                 1.5156,             0.00054814,             0.00054814,             0.00054814
                      3,                 1.1947,                0.73463,                 2.2453,                 1.1662,                0.71994,                0.23284,                0.34892,                0.17533,                0.71994,                0.23284,                0.35028,                0.12666,                 1.5488,                0.77731,                  2.951,                 1.4461,             0.00064455,             0.00064455,             0.00064455
                      4,                 1.0326,                 0.6424,                 1.9565,                 1.0638,                0.54036,                 0.3097,                0.36358,                0.19979,                0.58912,                0.32838,                0.38993,                0.15159,                 1.4772,                0.73211,                 2.8143,                 1.4533,             0.00069474,             0.00069474,             0.00069474
                      5,                0.94892,                0.59677,                 1.6388,                0.98845,                0.58804,                0.48205,                0.52139,                0.26385,                0.58723,                0.47801,                0.52981,                0.22575,                 1.5026,                0.70736,                 2.5508,                  1.439,             0.00069872,             0.00069872,             0.00069872
                      6,                0.86543,                0.51257,                 1.5042,                0.96106,                0.50868,                0.59562,                0.54679,                0.30321,                 0.5154,                0.61027,                0.55766,                 0.2701,                 1.4958,                0.62617,                 2.2366,                 1.3978,              0.0006565,              0.0006565,              0.0006565
                      7,                0.75377,                0.46646,                 1.3496,                0.91443,                0.60143,                0.56111,                0.58202,                0.36653,                0.63901,                0.59495,                 0.6082,                0.29407,                 1.3209,                0.62396,                 1.9655,                 1.2854,             0.00051177,             0.00051177,             0.00051177
                      8,                0.65287,                0.41095,                 1.1704,                 0.8878,                0.67856,                0.56515,                 0.6187,                0.39573,                0.71349,                0.59495,                0.64518,                0.32836,                 1.2895,                0.58057,                 1.8999,                 1.2501,             0.00051177,             0.00051177,             0.00051177
                      9,                0.57633,                0.36897,                 1.0768,                0.86598,                0.52885,                0.67374,                0.62224,                0.40755,                 0.6119,                0.64232,                0.63839,                0.34429,                 1.1981,                0.57537,                 1.9479,                  1.207,             0.00034674,             0.00034674,             0.00034674
