                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.0801,                0.66362,                 1.8431,                 1.3443,                 0.5229,                0.62518,                0.60208,                0.32606,                 0.5652,                0.58737,                0.62309,                0.26752,                 1.5275,                0.53099,                 1.8843,                 2.0858,              0.0011483,              0.0011483,              0.0011483
                     24,                 1.0777,                0.75167,                 1.7078,                 1.3059,                0.61777,                0.58485,                0.63989,                0.34099,                 0.6528,                0.62273,                0.64556,                0.29922,                 1.3722,                0.53876,                 1.7959,                 1.8886,              0.0011247,              0.0011247,              0.0011247
                     25,                 1.1204,                 0.7015,                 1.6456,                 1.3036,                0.48618,                0.69138,                0.61297,                0.36235,                0.69587,                0.59937,                0.66294,                0.30389,                 1.3007,                0.56371,                 1.7707,                 1.7845,              0.0011012,              0.0011012,              0.0011012
                     26,                 1.0251,                0.72246,                 1.5773,                 1.2729,                0.70239,                0.70008,                0.71195,                0.46312,                0.72293,                0.69657,                0.70342,                0.33436,                 1.2086,                0.47605,                 1.5189,                 1.6658,              0.0010776,              0.0010776,              0.0010776
                     27,                 1.0709,                0.74719,                 1.6661,                 1.2973,                0.66989,                0.57121,                0.63972,                0.39254,                0.66579,                0.56545,                0.63808,                0.33199,                 1.2271,                0.45045,                  1.707,                  1.671,               0.001054,               0.001054,               0.001054
                     28,                0.99962,                0.71949,                 1.4667,                 1.2214,                0.62598,                0.55314,                0.55355,                0.31656,                0.59629,                   0.55,                0.49929,                0.22543,                 1.3441,                0.57462,                 1.9381,                 1.8158,              0.0010304,              0.0010304,              0.0010304
                     29,                0.93641,                0.66646,                 1.3373,                  1.207,                 0.7245,                0.58743,                0.70413,                0.42177,                0.71621,                0.61186,                0.72446,                0.37689,                 1.2524,                 0.4392,                 1.6026,                 1.7441,              0.0010069,              0.0010069,              0.0010069
                     30,                0.97482,                  0.715,                 1.3577,                 1.2186,                0.63023,                0.61574,                0.61378,                0.35232,                0.65226,                0.61566,                0.65594,                0.31653,                 1.2952,                0.49167,                 1.6742,                 1.7762,             0.00098329,             0.00098329,             0.00098329
                     31,                0.90112,                0.65768,                 1.2447,                  1.163,                0.81432,                0.71313,                0.78605,                0.47759,                0.81902,                0.72071,                0.78038,                 0.3915,                 1.1851,                0.41413,                 1.4326,                 1.6376,             0.00095972,             0.00095972,             0.00095972
                     32,                0.93072,                0.63152,                 1.2929,                  1.193,                0.70781,                   0.65,                 0.7372,                0.46621,                0.73742,                0.67851,                0.75643,                0.39446,                 1.1528,                 0.4332,                 1.5301,                 1.5741,             0.00093614,             0.00093614,             0.00093614
                     33,                0.83758,                0.64251,                 1.2282,                 1.1424,                0.72069,                0.67879,                0.71761,                0.44976,                  0.683,                 0.6899,                0.69765,                0.34844,                 1.2337,                0.41819,                 1.4917,                 1.7102,             0.00091256,             0.00091256,             0.00091256
                     34,                0.83843,                0.57513,                 1.1667,                  1.155,                0.70408,                0.71818,                0.75641,                0.47814,                0.74337,                0.69859,                0.75201,                0.40596,                 1.1164,                0.41878,                 1.4402,                 1.6398,             0.00088899,             0.00088899,             0.00088899
                     35,                 1.0111,                0.66373,                 1.3168,                 1.2265,                0.70059,                0.78384,                0.79519,                0.52461,                0.72944,                0.80152,                0.81519,                0.44031,                 1.0583,                0.38338,                 1.2886,                 1.5265,             0.00086541,             0.00086541,             0.00086541
                     36,                0.84504,                0.57519,                 1.1272,                 1.1491,                0.63279,                0.76313,                0.72491,                0.49358,                0.71744,                0.79057,                 0.7722,                0.39569,                 1.1009,                0.39694,                 1.2753,                 1.5468,             0.00084184,             0.00084184,             0.00084184
                     37,                0.83062,                0.58716,                  1.127,                 1.1682,                0.75858,                 0.6638,                0.74384,                0.51187,                0.76016,                0.70573,                0.78164,                0.39961,                 1.1444,                0.40047,                 1.2986,                 1.6169,             0.00081826,             0.00081826,             0.00081826
                     38,                0.84574,                0.60232,                 1.0732,                 1.1215,                0.67539,                0.76076,                0.78522,                0.54174,                0.77405,                0.64661,                0.77686,                 0.3732,                 1.0723,                0.39277,                 1.2193,                 1.5362,             0.00079468,             0.00079468,             0.00079468
                     39,                0.81343,                0.53384,                 1.0679,                 1.1515,                0.73501,                0.79573,                0.81317,                0.59028,                0.77959,                0.77828,                0.82778,                0.43737,                0.97245,                0.38994,                 1.1818,                 1.4285,             0.00077111,             0.00077111,             0.00077111
                     40,                0.81337,                 0.5728,                 1.0693,                 1.1403,                 0.7387,                0.80808,                0.85921,                0.60418,                0.73033,                0.79697,                  0.853,                0.47018,                 1.0232,                0.36623,                 1.1748,                 1.4837,             0.00074753,             0.00074753,             0.00074753
                     41,                 0.8232,                0.59132,                 1.0364,                 1.1094,                0.78474,                0.71246,                0.79727,                0.57359,                0.80683,                0.72728,                0.81057,                0.47549,                0.99689,                0.37667,                 1.2706,                 1.4764,             0.00072395,             0.00072395,             0.00072395
                     42,                0.76432,                 0.5826,                0.98615,                 1.0986,                0.68493,                0.79295,                0.80374,                0.59764,                0.70426,                0.81569,                0.80857,                0.46837,                0.96964,                0.36275,                  1.109,                 1.4666,             0.00070038,             0.00070038,             0.00070038
                     43,                0.77698,                0.58059,                 1.0028,                 1.0865,                0.72839,                0.74517,                0.79475,                0.56791,                0.74651,                0.77475,                0.81817,                0.44745,                 1.0054,                 0.3752,                 1.1761,                 1.4942,              0.0006768,              0.0006768,              0.0006768
