                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.99298,                  1.029,                 1.0868,                0.81651,                0.74004,                0.82554,                0.58115,                 1.0303,                 1.1074,                  1.105,             0.00061079,             0.00061079,             0.00061079
                     34,                0.97141,                 0.9744,                 1.0693,                0.77307,                0.76121,                0.83324,                0.54467,                 1.0506,                 1.1626,                   1.11,             0.00057778,             0.00057778,             0.00057778
                     35,                0.99091,                0.98251,                 1.0774,                0.87296,                0.78681,                0.88266,                 0.6141,                 1.0126,                0.97947,                 1.0924,             0.00054478,             0.00054478,             0.00054478
                     36,                0.96778,                 1.0024,                 1.0724,                0.86382,                0.86061,                0.91348,                0.65541,                 0.9875,                0.88163,                 1.0427,             0.00051177,             0.00051177,             0.00051177
                     37,                0.96945,                 0.9586,                 1.0644,                0.80649,                0.83257,                0.88113,                0.64094,                0.99059,                0.90588,                 1.0538,             0.00047876,             0.00047876,             0.00047876
                     38,                0.93974,                0.94251,                 1.0697,                0.83162,                0.86164,                0.88556,                0.63373,                 1.0167,                0.87865,                 1.0743,             0.00044576,             0.00044576,             0.00044576
                     39,                0.91167,                0.92513,                 1.0538,                0.82996,                0.83047,                0.87608,                0.64403,                0.97524,                0.93137,                 1.0537,             0.00041275,             0.00041275,             0.00041275
                     40,                0.83705,                0.92701,                 1.0001,                0.86038,                0.85553,                 0.8909,                0.65247,                 1.0206,                 0.9598,                 1.0526,             0.00037974,             0.00037974,             0.00037974
                     41,                0.78787,                0.84293,                 0.9609,                 0.8849,                0.85553,                0.92138,                0.65789,                 1.0029,                0.90184,                 1.0536,             0.00034674,             0.00034674,             0.00034674
                     42,                0.80506,                0.82812,                0.97894,                0.83217,                0.89705,                0.93017,                0.66656,                0.96038,                0.84356,                 1.0547,             0.00031373,             0.00031373,             0.00031373
                     43,                 0.7517,                 0.7425,                0.94513,                0.88976,                0.81542,                0.91422,                0.64982,                0.96671,                0.84558,                 1.0624,             0.00028072,             0.00028072,             0.00028072
                     44,                0.75677,                0.75186,                 0.9547,                0.83705,                0.89144,                 0.9272,                0.67566,                0.95149,                 0.8145,                 1.0577,             0.00024772,             0.00024772,             0.00024772
                     45,                0.71904,                0.74723,                0.93097,                0.86605,                0.86007,                0.91329,                0.66023,                0.95702,                0.84297,                 1.0653,             0.00021471,             0.00021471,             0.00021471
                     46,                0.74499,                0.71594,                0.95672,                  0.871,                0.89484,                0.91795,                0.67206,                0.96189,                0.81396,                 1.0788,              0.0001817,              0.0001817,              0.0001817
                     47,                 0.6998,                 0.7028,                0.94005,                0.85215,                0.89176,                0.91216,                0.67861,                0.91971,                0.81385,                 1.0561,              0.0001487,              0.0001487,              0.0001487
                     48,                0.68133,                0.68611,                0.92266,                0.86897,                0.84976,                0.91378,                0.67779,                0.92663,                0.80528,                  1.063,             0.00011569,             0.00011569,             0.00011569
                     49,                0.71426,                0.68939,                 0.9311,                0.85991,                0.89957,                0.92315,                0.69045,                0.91892,                0.77226,                 1.0502,             8.2683e-05,             8.2683e-05,             8.2683e-05
