                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.0545,                0.74002,                 1.1646,                 1.0668,                0.58103,                 0.6826,                0.67105,                0.44697,                0.56892,                0.38713,                0.42618,                0.14352,                 1.1337,                 0.5852,                 1.3774,                 1.1888,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.0759,                0.81059,                 1.1898,                 1.0768,                0.67963,                0.72677,                0.73013,                0.51316,                0.46986,                0.54141,                 0.4554,                0.12892,                 1.0406,                0.52549,                 1.3212,                 1.1263,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.0516,                0.81457,                 1.1232,                 1.0577,                0.66923,                0.69444,                0.77707,                 0.5458,                 0.5052,                0.46696,                0.40637,                0.12164,                 1.0614,                0.56609,                 1.2671,                 1.1752,              0.0012709,              0.0012709,              0.0012709
                     26,                  1.012,                0.81167,                 1.0781,                 1.0454,                0.84563,                0.61536,                0.72795,                 0.4849,                0.51533,                0.50481,                0.44534,                0.13541,                0.98244,                0.49997,                 1.3677,                 1.0936,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.0525,                0.82257,                 1.1442,                 1.0578,                0.65231,                0.65682,                0.62142,                0.41916,                0.45759,                0.42929,                0.37619,                0.11588,                 1.0565,                0.51756,                  1.491,                 1.1384,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.0631,                0.83266,                 1.1104,                 1.0656,                0.69265,                0.67694,                0.74076,                0.52381,                0.47494,                0.47121,                0.45273,                0.17206,                 1.0021,                0.54317,                  1.196,                 1.1213,              0.0012214,              0.0012214,              0.0012214
                     29,                0.99238,                0.76596,                 1.0499,                 1.0431,                0.79392,                0.65232,                0.77353,                0.57869,                0.53033,                0.43859,                0.42849,                0.14419,                0.91928,                0.47999,                 1.1285,                 1.0661,              0.0012049,              0.0012049,              0.0012049
                     30,                0.97319,                0.79413,                 1.0537,                 1.0271,                0.58053,                0.64185,                0.64649,                0.45891,                0.55221,                0.42228,                0.43907,                0.13026,                0.99983,                0.49184,                 1.2723,                 1.1287,              0.0011884,              0.0011884,              0.0011884
                     31,                0.99331,                0.75752,                0.99266,                  1.032,                0.69085,                0.68616,                0.71434,                 0.5135,                0.52572,                0.48119,                0.42145,                 0.1285,                0.96462,                0.47998,                 1.2155,                 1.1001,              0.0011719,              0.0011719,              0.0011719
                     32,                0.97211,                 0.7651,                  1.042,                 1.0133,                0.82252,                0.74379,                0.79898,                0.54628,                 0.6648,                0.45846,                0.47323,                0.14568,                0.97422,                0.50795,                 1.1238,                 1.0818,              0.0011554,              0.0011554,              0.0011554
                     33,                 0.9106,                0.76593,                0.98352,                0.99173,                0.80114,                0.73573,                0.80845,                0.55716,                0.53318,                0.51566,                0.43106,                0.12947,                0.98473,                0.51307,                 1.1127,                 1.1504,              0.0011389,              0.0011389,              0.0011389
                     34,                0.89779,                0.70462,                0.94769,                0.99742,                0.80288,                0.72425,                0.81632,                 0.6096,                0.52521,                0.57172,                0.47578,                0.15734,                0.88027,                0.48727,                 1.0337,                 1.0832,              0.0011224,              0.0011224,              0.0011224
                     35,                0.93398,                0.75789,                0.98934,                 1.0021,                0.85285,                0.70808,                0.81164,                0.59041,                0.61994,                0.49148,                0.50208,                0.16697,                0.91011,                0.49293,                 1.0699,                 1.1177,              0.0011059,              0.0011059,              0.0011059
                     36,                0.86026,                0.70502,                0.88793,                0.97465,                0.78657,                0.78948,                0.82812,                0.64353,                0.63559,                0.61768,                0.54315,                0.18233,                0.89011,                 0.4956,                 0.9354,                 1.0828,              0.0010894,              0.0010894,              0.0010894
                     37,                0.85563,                 0.6833,                0.88536,                0.99973,                0.88686,                0.71362,                0.82805,                 0.6389,                0.64602,                0.57874,                 0.5309,                0.18648,                 0.8233,                0.50114,                0.94156,                 1.0239,              0.0010729,              0.0010729,              0.0010729
                     38,                0.87552,                0.75873,                0.87628,                0.98689,                0.83592,                0.69754,                0.83199,                0.63755,                0.54715,                0.46667,                0.47027,                0.13999,                0.85544,                0.48119,                0.94466,                 1.0953,              0.0010564,              0.0010564,              0.0010564
                     39,                0.80499,                 0.6561,                0.84389,                0.95906,                0.78532,                0.68687,                  0.776,                0.61697,                0.50609,                0.52978,                0.47787,                0.15477,                 0.8194,                0.48755,                 1.0674,                 1.0362,              0.0010399,              0.0010399,              0.0010399
                     40,                0.85462,                0.72686,                0.88741,                0.98087,                0.78813,                0.81313,                0.84973,                0.66398,                0.64881,                0.50417,                0.54168,                0.15228,                0.82972,                0.46665,                0.94494,                 1.0808,              0.0010234,              0.0010234,              0.0010234
                     41,                0.88711,                0.71311,                0.92355,                0.98745,                0.80504,                0.79617,                0.84665,                0.65186,                 0.6892,                0.57525,                0.54563,                0.16698,                0.87163,                0.44019,                0.95016,                 1.0808,              0.0010069,              0.0010069,              0.0010069
                     42,                0.88074,                0.70199,                0.86132,                0.99343,                 0.8542,                 0.8343,                0.87196,                0.67985,                0.59959,                0.56768,                 0.4989,                0.13792,                0.79594,                0.45481,                0.84982,                 1.0151,             0.00099036,             0.00099036,             0.00099036
                     43,                 0.8057,                0.72549,                0.81782,                0.95757,                0.83691,                0.69798,                0.78786,                0.62752,                0.60847,                0.53434,                0.54234,                0.15349,                0.84735,                0.48896,                 1.0462,                 1.0311,             0.00097386,             0.00097386,             0.00097386
                     44,                0.82349,                0.74949,                0.81498,                0.95849,                0.84904,                0.75873,                0.84467,                0.63914,                0.55171,                0.51223,                0.47134,                0.14675,                0.85665,                0.45114,                0.92215,                 1.0789,             0.00095736,             0.00095736,             0.00095736
                     45,                0.88904,                0.73348,                 0.8519,                0.98829,                0.76483,                0.86102,                0.86041,                0.65415,                0.60563,                0.61297,                0.57479,                0.19292,                0.84783,                0.48292,                0.86442,                 1.0704,             0.00094085,             0.00094085,             0.00094085
                     46,                  0.813,                0.74007,                0.79638,                0.96384,                  0.788,                0.85494,                0.84307,                0.67424,                0.59098,                0.65424,                0.56793,                0.18226,                0.79612,                0.45602,                0.85805,                 1.0193,             0.00092435,             0.00092435,             0.00092435
                     47,                 0.8232,                0.70934,                0.78114,                0.97475,                   0.89,                0.88468,                0.93042,                 0.7003,                0.57455,                0.63784,                0.53778,                0.16052,                0.84183,                 0.4916,                0.75631,                 1.0285,             0.00090785,             0.00090785,             0.00090785
                     48,                0.83748,                0.71882,                0.79226,                0.98406,                0.85981,                0.86148,                0.90954,                  0.697,                0.66763,                0.65345,                0.56152,                0.18792,                0.79858,                0.47013,                0.83014,                0.97114,             0.00089134,             0.00089134,             0.00089134
                     49,                0.78783,                 0.6644,                0.73592,                0.94186,                 0.8298,                0.86818,                    0.9,                0.71081,                0.54831,                0.60556,                0.50632,                0.14151,                0.79174,                0.45946,                0.81677,                 1.0142,             0.00087484,             0.00087484,             0.00087484
                     50,                0.78065,                0.70487,                0.74266,                0.94227,                0.80334,                0.91364,                0.90754,                0.71091,                0.62776,                0.67231,                0.59019,                0.21886,                0.77755,                 0.4442,                0.76331,                 1.0203,             0.00085834,             0.00085834,             0.00085834
                     51,                0.78803,                0.70732,                 0.7146,                0.96826,                0.79597,                0.81212,                0.87433,                0.69448,                 0.5901,                0.61671,                0.53746,                0.17628,                0.79188,                0.43867,                 0.8488,                 1.0361,             0.00084184,             0.00084184,             0.00084184
                     52,                0.75036,                0.70034,                0.69131,                0.94667,                0.75905,                0.71491,                0.78448,                0.59964,                0.61668,                0.56847,                0.51276,                0.14416,                0.86466,                0.42585,                0.99433,                 1.0338,             0.00082533,             0.00082533,             0.00082533
                     53,                0.76737,                0.71438,                0.71798,                0.94967,                0.80177,                0.73838,                0.83891,                0.63521,                0.61114,                0.59301,                0.53672,                0.17792,                0.84275,                0.45483,                0.89474,                 1.0412,             0.00080883,             0.00080883,             0.00080883
                     54,                0.69773,                0.61445,                0.65932,                  0.924,                0.77499,                0.83081,                0.86743,                0.67702,                0.55243,                0.54192,                 0.5055,                0.16278,                0.79601,                0.45778,                0.85222,                 1.0499,             0.00079233,             0.00079233,             0.00079233
                     55,                0.79397,                0.71551,                0.72627,                0.94095,                0.79216,                0.87286,                0.87735,                0.69339,                 0.5863,                0.62424,                0.54454,                0.18844,                0.79906,                0.44852,                0.80022,                 1.0512,             0.00077582,             0.00077582,             0.00077582
                     56,                0.72431,                 0.6526,                0.68911,                 0.9335,                0.86271,                0.82324,                0.86862,                0.69803,                0.63062,                0.59267,                 0.5471,                0.17415,                0.75642,                0.42738,                 0.7786,                 1.0237,             0.00075932,             0.00075932,             0.00075932
