                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.0035,                 1.0646,                 1.0933,                0.79617,                0.79563,                0.85099,                0.59969,                 1.0168,                 1.0576,                 1.0703,             0.00061079,             0.00061079,             0.00061079
                     34,                0.98719,                 0.9995,                 1.0849,                0.65995,                 0.7534,                0.74137,                0.49865,                  1.105,                 1.2427,                 1.1463,             0.00057778,             0.00057778,             0.00057778
                     35,                0.98316,                0.98261,                 1.0694,                0.84802,                0.76909,                0.85258,                0.60937,                0.99657,                 1.0022,                 1.0524,             0.00054478,             0.00054478,             0.00054478
                     36,                0.99959,                 1.0175,                 1.0872,                0.86462,                0.79246,                0.88009,                0.62007,                  1.049,                0.96142,                 1.0777,             0.00051177,             0.00051177,             0.00051177
                     37,                0.96719,                0.97116,                 1.0752,                0.83133,                0.82561,                0.86178,                 0.6344,                0.99769,                0.94027,                 1.0733,             0.00047876,             0.00047876,             0.00047876
                     38,                0.93761,                0.95062,                 1.0686,                0.85375,                0.81705,                 0.8888,                0.64175,                 1.0238,                0.86068,                 1.0497,             0.00044576,             0.00044576,             0.00044576
                     39,                0.94228,                0.91795,                 1.0625,                0.84211,                0.81773,                0.89822,                0.64891,                 1.0185,                0.87646,                 1.0533,             0.00041275,             0.00041275,             0.00041275
                     40,                0.81152,                0.90079,                0.98313,                0.88332,                0.84715,                 0.9246,                0.66959,                 1.0196,                  0.945,                 1.0423,             0.00037974,             0.00037974,             0.00037974
                     41,                 0.7876,                0.83551,                0.96111,                  0.893,                0.84658,                0.92317,                0.70214,                 0.9225,                0.78837,                 1.0192,             0.00034674,             0.00034674,             0.00034674
                     42,                0.80139,                0.83778,                0.98285,                0.87856,                0.85496,                0.91759,                0.66738,                 0.9396,                0.82071,                 1.0273,             0.00031373,             0.00031373,             0.00031373
                     43,                0.77792,                0.75681,                0.96777,                0.85914,                0.86466,                0.92157,                0.67908,                0.93652,                0.81574,                 1.0202,             0.00028072,             0.00028072,             0.00028072
                     44,                0.74728,                0.76194,                 0.9531,                0.92536,                0.83964,                0.92518,                0.68605,                0.90575,                0.81163,                 1.0058,             0.00024772,             0.00024772,             0.00024772
                     45,                0.72651,                0.73034,                0.93545,                0.84233,                0.84847,                 0.9071,                0.67008,                0.91778,                0.88245,                 1.0235,             0.00021471,             0.00021471,             0.00021471
                     46,                0.74543,                0.71801,                0.96378,                0.86219,                0.85439,                0.91461,                0.67038,                0.92644,                0.83584,                 1.0171,              0.0001817,              0.0001817,              0.0001817
                     47,                0.71938,                0.72063,                0.94409,                0.90019,                0.81432,                0.92547,                0.68615,                 0.9127,                0.79946,                 1.0079,              0.0001487,              0.0001487,              0.0001487
                     48,                0.70233,                0.70366,                0.93769,                0.90021,                0.80633,                0.92526,                0.68717,                0.90532,                0.80046,                 1.0098,             0.00011569,             0.00011569,             0.00011569
                     49,                0.70126,                0.68991,                0.92805,                0.83038,                0.85439,                0.92158,                0.68838,                0.89115,                0.79056,                 1.0088,             8.2683e-05,             8.2683e-05,             8.2683e-05
