                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2967,                 3.1192,                 4.9555,                 1.9334,                0.04274,                0.54798,                0.06386,                0.03008,                0.04313,                0.60323,                0.06822,                0.03139,                 1.6972,                0.74929,                 9.4171,                 1.6977,             0.00021671,             0.00021671,             0.00021671
                      1,                 1.4369,                 1.0428,                 2.6451,                 1.3646,                0.07565,                0.21566,                0.08548,                0.04243,                0.08439,                0.40202,                0.10642,                0.05126,                 1.7271,                 0.6747,                 11.412,                 1.7479,             0.00044563,             0.00044563,             0.00044563
                      2,                 1.4651,                0.98859,                 2.2527,                 1.3756,                0.13866,                0.23232,                0.12125,                0.05364,                 0.1692,                0.26616,                0.13941,                0.05326,                  1.753,                0.76896,                 6.1967,                 1.8081,             0.00066994,             0.00066994,             0.00066994
                      3,                 1.4289,                0.93428,                 1.9809,                 1.3218,                 0.3693,                 0.1756,                0.13338,                 0.0633,                0.34787,                0.22273,                0.15348,                0.05977,                 2.0138,                 1.2802,                 5.2138,                 1.9019,             0.00088962,             0.00088962,             0.00088962
                      4,                 1.4904,                0.99739,                 1.9145,                 1.3644,                0.22395,                0.40253,                0.19417,                0.09655,                0.23483,                0.41768,                0.21912,                0.07806,                 1.6573,                 1.1066,                 8.1004,                 1.7156,              0.0011047,              0.0011047,              0.0011047
                      5,                 1.4543,                 1.0015,                 1.8523,                 1.2964,                0.27729,                0.22172,                0.15838,                0.06829,                0.35338,                0.16919,                0.18568,                0.06192,                 1.9637,                 1.3078,                  4.867,                 1.9576,              0.0013151,              0.0013151,              0.0013151
                      6,                 1.5161,                0.97923,                 1.7925,                  1.361,                0.20877,                 0.4697,                0.21417,                0.10939,                0.25957,                0.29618,                 0.1938,                 0.0815,                 1.7294,                0.80098,                 4.8842,                 1.9574,              0.0015209,              0.0015209,              0.0015209
                      7,                 1.4403,                0.90334,                 1.7175,                 1.3226,                 0.1753,                0.38687,                0.17447,                0.07653,                0.14757,                0.32374,                0.14312,                0.04519,                 1.8751,                 1.5798,                 3.7347,                 1.7797,              0.0015515,              0.0015515,              0.0015515
                      8,                 1.4343,                0.87214,                   1.57,                 1.3018,                0.34202,                  0.235,                 0.1415,                0.06334,                0.26642,                0.18434,                 0.0991,                0.03134,                 2.0869,                 2.5275,                 4.4347,                 2.0021,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.3065,                0.91142,                 1.4255,                 1.2302,                0.14519,                0.18434,                0.08927,                0.04184,                0.11116,                0.08232,                0.06558,                0.02354,                  2.927,                 3.3565,                  3.669,                 3.0539,               0.001535,               0.001535,               0.001535
                     10,                 1.2777,                0.86736,                 1.4412,                 1.2292,                0.35368,                0.49501,                0.38994,                0.19011,                0.38081,                0.53777,                0.43233,                0.17478,                 1.7077,                0.60356,                 2.5637,                 1.7939,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.2572,                0.79006,                 1.3744,                 1.2384,                 0.5096,                0.49848,                 0.4985,                0.29629,                0.52317,                0.58384,                0.54171,                0.24984,                 1.3626,                0.69175,                 1.8109,                 1.5031,               0.001502,               0.001502,               0.001502
                     12,                 1.2172,                0.81841,                 1.2877,                 1.1761,                0.28774,                0.56313,                0.32771,                0.15052,                 0.2966,                0.58939,                0.34587,                0.13497,                 1.7107,                0.78698,                  2.257,                 1.7171,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.2882,                0.84285,                  1.363,                 1.2061,                0.39414,                0.45963,                0.39447,                0.21387,                0.47109,                0.35491,                0.36673,                0.16669,                 1.6335,                0.93953,                 2.2164,                 1.4869,               0.001469,               0.001469,               0.001469
                     14,                 1.1912,                 0.7764,                 1.2539,                 1.1577,                 0.3429,                0.35758,                0.30177,                0.16016,                0.28819,                0.50707,                0.32051,                0.13819,                 1.8356,                0.69385,                 2.9116,                  1.795,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.1946,                0.82715,                 1.2489,                 1.1797,                0.36127,                0.38182,                0.29829,                0.15663,                0.39231,                0.42323,                0.33516,                0.13954,                 2.0091,                0.65581,                 2.4922,                 2.0943,               0.001436,               0.001436,               0.001436
                     16,                 1.1143,                0.73875,                 1.1653,                 1.1198,                0.48053,                0.60409,                0.54567,                0.36015,                0.48589,                0.61111,                0.55731,                0.29562,                 1.1187,                0.59728,                  1.455,                 1.2418,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.1547,                 0.8518,                 1.2094,                 1.1444,                 0.5393,                0.55707,                 0.5462,                0.32088,                0.52835,                0.55354,                   0.55,                0.25868,                 1.1823,                0.59436,                 1.6464,                 1.2698,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.0687,                0.80436,                 1.1291,                 1.1023,                0.51875,                0.59192,                0.54796,                0.34639,                0.52407,                0.63687,                 0.5948,                0.30385,                 1.2556,                0.59474,                 1.5767,                 1.3268,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.0853,                0.74243,                 1.0752,                 1.1046,                0.43706,                0.53384,                0.45247,                0.28458,                0.45462,                0.58814,                 0.4962,                 0.2506,                 1.2407,                0.55343,                 1.7734,                  1.352,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.0383,                0.77426,                 1.0344,                 1.1014,                0.59499,                0.57673,                0.57005,                0.38635,                0.61426,                0.65246,                0.60417,                0.30355,                 1.2979,                0.50532,                 1.6581,                 1.3809,              0.0013534,              0.0013534,              0.0013534
