                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3394,                 7.5105,                 2.5379,                0.00685,                 0.1712,                0.02255,                0.00812,                 2.5316,                 7.0874,                 3.5228,             0.00025005,             0.00025005,             0.00025005
                      1,                 1.8342,                 5.7995,                 2.0951,                0.00107,                0.02955,                0.00149,                0.00038,                 3.1546,                 9.0751,                 5.0354,             0.00050654,             0.00050654,             0.00050654
                      2,                 1.8199,                 5.3513,                 2.0436,                0.00652,                0.24649,                0.03714,                0.01224,                 2.2795,                 6.7499,                  2.968,             0.00075246,             0.00075246,             0.00075246
                      3,                 1.8577,                  5.038,                 2.1009,                0.52571,                0.03623,                0.03138,                0.01081,                 2.0383,                 6.3888,                 2.6855,             0.00098783,             0.00098783,             0.00098783
                      4,                 1.7975,                 4.6989,                 2.0431,                  0.222,                0.20856,                0.06778,                0.01335,                  3.129,                 7.0488,                 4.6917,              0.0012126,              0.0012126,              0.0012126
                      5,                  1.884,                 4.4587,                 2.0865,                 0.5716,                0.13768,                0.05167,                 0.0147,                  2.468,                 10.374,                 3.2263,              0.0014269,              0.0014269,              0.0014269
                      6,                 1.7796,                 4.5406,                 2.0183,                0.11344,                 0.1969,                0.10125,                0.04458,                 2.2605,                 5.8959,                 2.7692,               0.001469,               0.001469,               0.001469
                      7,                 1.7305,                 3.9993,                 1.9764,                0.52229,                0.05072,                 0.0109,                0.00245,                 3.9867,                 30.265,                  5.832,               0.001469,               0.001469,               0.001469
                      8,                 1.7292,                 3.8006,                 1.9348,                0.15967,                0.25996,                 0.0999,                0.03801,                 1.9553,                 5.0618,                 2.3749,               0.001436,               0.001436,               0.001436
                      9,                 1.6775,                 3.6584,                 1.9056,                 0.2933,                0.13881,                0.10104,                 0.0324,                 2.2807,                 7.8585,                 3.0477,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.6591,                 3.3833,                 1.8857,                0.09704,                 0.2771,                 0.0589,                0.01595,                 2.6676,                 5.8353,                  3.088,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.6663,                 3.3625,                 1.8876,                 0.1909,                0.33923,                0.15473,                0.06144,                 1.9531,                 3.8495,                 2.4316,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.6197,                  3.108,                 1.8237,                0.30432,                0.44712,                0.24933,                0.08959,                 1.8974,                 4.0046,                 2.2471,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.5988,                 3.0225,                 1.8118,                0.28818,                0.37194,                0.24812,                0.11797,                 1.8075,                 4.2202,                 2.1688,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.5262,                 2.7488,                 1.7325,                0.25786,                0.41429,                0.21903,                0.08305,                  1.843,                 3.3285,                 2.2248,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.5284,                 2.6556,                  1.749,                 0.3917,                0.38259,                0.33467,                0.14284,                  1.773,                 2.6904,                 2.1918,              0.0012049,              0.0012049,              0.0012049
                     16,                  1.429,                 2.4409,                 1.6568,                0.41782,                0.41327,                0.36489,                0.17514,                 1.6101,                  2.627,                 1.9748,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.4614,                 2.4468,                 1.7045,                0.45947,                0.50476,                 0.4876,                0.22589,                 1.6636,                 2.3122,                 2.0666,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.3204,                 2.2066,                 1.6066,                0.47593,                 0.5394,                0.52319,                0.26875,                 1.5539,                 1.9666,                  1.915,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.3484,                 2.1656,                 1.6067,                0.59607,                0.47305,                0.54286,                0.29228,                 1.4432,                 2.0206,                 1.7943,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.3156,                 2.0179,                 1.5473,                0.55879,                0.60244,                 0.5691,                0.29211,                 1.5265,                 2.0049,                 1.9009,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.2741,                 2.0112,                 1.5192,                0.49761,                0.55276,                0.52611,                0.25809,                 1.8308,                 2.2624,                 2.1475,              0.0010069,              0.0010069,              0.0010069
                     22,                  1.296,                 1.9694,                 1.5234,                0.57987,                0.54046,                0.54669,                0.25741,                 1.7999,                 2.1151,                  2.092,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.2268,                  1.842,                  1.487,                0.63124,                0.62964,                0.68335,                0.38442,                 1.4086,                 1.8047,                 1.7577,             0.00094085,             0.00094085,             0.00094085
                     24,                  1.246,                 1.7722,                 1.5143,                0.66314,                 0.6704,                0.70405,                0.38015,                 1.4487,                 1.7507,                  1.779,             0.00090785,             0.00090785,             0.00090785
                     25,                  1.222,                 1.7447,                 1.4787,                0.71941,                0.70282,                 0.7184,                0.37046,                 1.4402,                 1.7162,                 1.7165,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.1909,                 1.6035,                 1.4179,                0.72035,                0.65361,                0.70687,                0.39745,                 1.4081,                 1.7122,                 1.7327,             0.00084184,             0.00084184,             0.00084184
                     27,                  1.173,                 1.6052,                 1.4087,                0.52672,                0.57288,                 0.5731,                0.32766,                 1.4625,                 1.7868,                 1.7989,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.1263,                 1.5281,                  1.378,                0.58837,                0.71558,                0.67056,                0.38189,                 1.4285,                 1.6075,                 1.7504,             0.00077582,             0.00077582,             0.00077582
                     29,                 1.1838,                 1.5602,                 1.4238,                0.72257,                0.70833,                0.75032,                0.44227,                 1.3139,                 1.5204,                 1.6613,             0.00074282,             0.00074282,             0.00074282
                     30,                 1.1144,                 1.5187,                 1.4224,                 0.6637,                0.66723,                0.72689,                0.42524,                 1.3072,                 1.4484,                  1.657,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.1146,                 1.5079,                 1.3772,                0.76084,                0.69135,                0.78199,                0.47527,                 1.3064,                 1.4375,                  1.644,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.0966,                 1.4326,                 1.3438,                0.72678,                 0.7276,                0.76646,                 0.4568,                 1.2941,                 1.3914,                 1.6687,              0.0006438,              0.0006438,              0.0006438
                     33,                 1.0693,                 1.4207,                 1.3382,                0.81604,                0.69773,                0.80366,                0.50227,                 1.2237,                 1.3048,                 1.5823,             0.00061079,             0.00061079,             0.00061079
                     34,                 1.0204,                 1.3187,                 1.2871,                 0.6962,                   0.73,                0.76519,                 0.4943,                  1.255,                 1.3133,                 1.5567,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.0415,                  1.333,                 1.3202,                 0.8048,                0.74227,                0.81629,                0.52471,                 1.2184,                 1.2433,                 1.5806,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.0195,                 1.3227,                 1.3014,                 0.8146,                0.79586,                0.84073,                0.52865,                 1.1926,                 1.2288,                 1.5588,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.0017,                 1.2528,                 1.3053,                0.88909,                  0.768,                0.88346,                0.54112,                 1.2129,                 1.1747,                 1.5835,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.0118,                 1.2444,                 1.3159,                0.80761,                0.77448,                0.84432,                0.52986,                 1.2025,                 1.1706,                 1.5968,             0.00044576,             0.00044576,             0.00044576
                     39,                0.97525,                 1.2201,                  1.277,                0.87095,                0.81703,                0.88657,                0.57814,                 1.1561,                 1.0529,                 1.5504,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.0176,                 1.4487,                  1.392,                0.84647,                0.81378,                0.88431,                0.52984,                 1.2688,                 1.3108,                 1.5753,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.0025,                 1.3782,                 1.3542,                0.77607,                 0.8399,                0.86763,                0.54822,                 1.2166,                 1.2005,                 1.5506,             0.00034674,             0.00034674,             0.00034674
                     42,                0.99513,                 1.3189,                  1.356,                0.82406,                0.81738,                0.87087,                0.58669,                  1.104,                 1.0429,                 1.5016,             0.00031373,             0.00031373,             0.00031373
                     43,                0.95195,                 1.2667,                 1.3073,                0.82736,                0.77771,                0.84393,                0.57182,                 1.1195,                 1.1114,                 1.4867,             0.00028072,             0.00028072,             0.00028072
                     44,                0.94111,                 1.2153,                 1.2692,                0.81817,                0.81899,                0.87758,                0.57756,                 1.1616,                 1.0867,                 1.5003,             0.00024772,             0.00024772,             0.00024772
                     45,                0.84359,                 1.1504,                 1.2007,                0.80382,                0.85252,                0.89735,                0.58565,                 1.1217,                  1.026,                 1.5113,             0.00021471,             0.00021471,             0.00021471
                     46,                0.89038,                 1.2197,                  1.268,                0.84675,                0.83209,                0.88973,                0.60646,                 1.0901,                 0.9977,                 1.4734,              0.0001817,              0.0001817,              0.0001817
                     47,                 0.8973,                 1.1654,                 1.3075,                0.84019,                0.85567,                0.89595,                0.62317,                 1.0806,                0.97588,                  1.454,              0.0001487,              0.0001487,              0.0001487
                     48,                0.84914,                 1.1126,                 1.2617,                0.86093,                0.86607,                0.90379,                0.61743,                 1.0911,                0.96798,                 1.4745,             0.00011569,             0.00011569,             0.00011569
                     49,                0.82436,                 1.0812,                  1.208,                0.86937,                0.87783,                0.91045,                0.62022,                 1.0682,                 0.9637,                 1.4648,             8.2683e-05,             8.2683e-05,             8.2683e-05
