                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0679,                 1.1108,                 1.1198,                0.75459,                0.76178,                0.81369,                0.52862,                  1.171,                 1.1521,                 1.2094,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.0936,                 1.1052,                 1.1261,                0.87684,                0.74785,                0.86896,                0.60665,                    1.1,                0.95384,                 1.1069,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.0835,                 1.0951,                 1.1237,                0.81929,                0.75846,                0.82865,                0.59584,                 1.1008,                0.99139,                 1.1019,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.0864,                 1.0348,                 1.1336,                0.83495,                0.73167,                0.84671,                 0.6092,                 1.0626,                0.99087,                 1.1015,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.0779,                 1.0759,                 1.1394,                0.81467,                0.81646,                0.85016,                0.59701,                 1.0722,                0.97171,                 1.1103,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.0308,                 1.0275,                 1.1191,                0.79884,                0.77862,                0.84646,                0.59336,                 1.0552,                 1.0162,                 1.1244,              0.0010399,              0.0010399,              0.0010399
                     40,                  1.028,                0.99253,                 1.1023,                0.86038,                0.81646,                0.86876,                0.60776,                  1.097,                0.99784,                 1.1274,              0.0010234,              0.0010234,              0.0010234
                     41,                 0.9741,                0.93761,                 1.0735,                 0.8196,                0.71693,                0.80591,                0.57544,                 1.0769,                 1.1018,                 1.1421,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.0631,                 1.0119,                 1.1239,                0.83139,                0.79912,                0.86242,                0.58986,                 1.0495,                 0.9532,                 1.1013,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.0191,                0.96825,                 1.0961,                0.83381,                0.73549,                0.81945,                0.56964,                 1.0729,                  1.022,                 1.1119,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.0012,                 1.0057,                 1.0841,                0.84355,                0.77315,                0.84453,                0.59796,                 1.0262,                0.93967,                 1.0826,             0.00095736,             0.00095736,             0.00095736
                     45,                0.99339,                0.99038,                 1.0818,                0.82407,                 0.8399,                0.88946,                0.62911,                0.97341,                0.87014,                 1.0609,             0.00094085,             0.00094085,             0.00094085
                     46,                0.97598,                0.90873,                 1.0798,                0.83684,                0.78351,                0.87436,                0.62615,                0.99705,                0.92655,                 1.0727,             0.00092435,             0.00092435,             0.00092435
                     47,                0.94217,                0.91864,                 1.0654,                0.78774,                0.76008,                0.81071,                0.58993,                0.97261,                 1.0344,                 1.0846,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.0018,                0.93455,                 1.0776,                0.80194,                0.81846,                0.86529,                 0.6218,                 1.0021,                0.89907,                 1.0935,             0.00089134,             0.00089134,             0.00089134
                     49,                0.95464,                0.90154,                 1.0568,                0.83857,                0.83322,                0.86464,                0.62305,                0.98171,                 0.8801,                 1.1377,             0.00087484,             0.00087484,             0.00087484
                     50,                0.94903,                0.86991,                   1.07,                0.80764,                0.83152,                0.82665,                 0.5977,                0.98403,                0.95212,                 1.1101,             0.00085834,             0.00085834,             0.00085834
                     51,                0.95314,                0.86223,                 1.0927,                0.84468,                0.84722,                0.89528,                0.65282,                0.94552,                0.82663,                 1.0628,             0.00084184,             0.00084184,             0.00084184
                     52,                0.98506,                 0.9007,                 1.0805,                0.90728,                0.85308,                0.91116,                 0.6687,                0.94904,                0.79477,                 1.0956,             0.00082533,             0.00082533,             0.00082533
                     53,                0.92353,                 0.8731,                 1.0445,                0.87704,                0.83209,                0.90472,                0.66243,                0.97729,                0.83076,                 1.0439,             0.00080883,             0.00080883,             0.00080883
                     54,                0.94785,                0.87012,                 1.0757,                0.78706,                0.85057,                0.89204,                0.64865,                0.98088,                0.83401,                 1.0274,             0.00079233,             0.00079233,             0.00079233
                     55,                0.92745,                0.85699,                 1.0522,                  0.772,                0.89289,                0.89064,                0.65876,                0.94701,                0.82105,                 1.0493,             0.00077582,             0.00077582,             0.00077582
                     56,                0.95064,                0.84642,                 1.0564,                 0.8248,                0.87686,                0.89757,                0.63581,                 0.9968,                0.81248,                  1.054,             0.00075932,             0.00075932,             0.00075932
                     57,                0.94822,                0.86592,                 1.0518,                0.72284,                0.89629,                0.87805,                0.62808,                 1.0139,                0.84203,                 1.0562,             0.00074282,             0.00074282,             0.00074282
                     58,                0.90272,                0.82198,                 1.0426,                0.85285,                0.83792,                0.89581,                0.67209,                 0.9472,                0.78585,                  1.051,             0.00072631,             0.00072631,             0.00072631
                     59,                0.86963,                0.76334,                 1.0293,                0.85849,                0.81816,                0.86939,                 0.6418,                0.95306,                0.80846,                 1.0618,             0.00070981,             0.00070981,             0.00070981
                     60,                0.88542,                0.80604,                 1.0371,                0.83681,                0.83877,                0.89034,                0.62754,                 1.0273,                 0.8229,                   1.09,             0.00069331,             0.00069331,             0.00069331
                     61,                0.86871,                0.79959,                  1.035,                0.85128,                0.85087,                0.90119,                0.65814,                0.93532,                0.84795,                 1.0384,              0.0006768,              0.0006768,              0.0006768
                     62,                0.88636,                0.80742,                 1.0467,                0.78618,                0.80918,                0.83772,                0.57771,                 1.0531,                0.99049,                 1.1435,              0.0006603,              0.0006603,              0.0006603
                     63,                0.91962,                0.82472,                  1.058,                0.87905,                0.80808,                0.86861,                0.62309,                 0.9688,                0.86478,                 1.1056,              0.0006438,              0.0006438,              0.0006438
                     64,                0.84685,                0.77053,                 1.0247,                0.84206,                0.81362,                0.86493,                 0.6302,                0.92779,                0.82617,                 1.0798,             0.00062729,             0.00062729,             0.00062729
                     65,                0.90499,                0.82128,                 1.0484,                0.83912,                 0.8159,                0.86523,                0.63564,                0.95912,                0.77436,                 1.0832,             0.00061079,             0.00061079,             0.00061079
                     66,                0.85741,                0.74758,                 1.0252,                 0.7886,                0.87783,                0.90287,                0.66336,                0.92841,                0.78628,                 1.0372,             0.00059429,             0.00059429,             0.00059429
                     67,                 0.8996,                 0.8172,                 1.0397,                0.83189,                0.79884,                0.89246,                0.67458,                 0.9074,                0.79679,                 1.0197,             0.00057778,             0.00057778,             0.00057778
                     68,                0.83728,                0.74884,                 1.0301,                0.86081,                0.81083,                0.87914,                0.65581,                0.93695,                 0.7785,                 1.0802,             0.00056128,             0.00056128,             0.00056128
                     69,                0.81112,                0.73273,                  1.004,                0.81614,                0.87722,                0.89994,                0.66322,                0.95849,                0.74354,                  1.079,             0.00054478,             0.00054478,             0.00054478
                     70,                0.84744,                0.70316,                 1.0166,                0.85385,                 0.8639,                0.89233,                0.65311,                0.93149,                0.74388,                 1.0483,             0.00052827,             0.00052827,             0.00052827
                     71,                0.80917,                0.71192,                 1.0086,                0.87418,                0.89401,                0.91523,                0.68619,                0.89249,                0.69559,                 1.0179,             0.00051177,             0.00051177,             0.00051177
                     72,                0.81041,                0.72719,                 1.0115,                0.84511,                0.91463,                0.91701,                0.68191,                0.92895,                0.72728,                 1.0449,             0.00049527,             0.00049527,             0.00049527
                     73,                0.86057,                0.74889,                 1.0204,                0.87736,                 0.8595,                0.90928,                0.68347,                0.90595,                 0.7366,                 1.0343,             0.00047876,             0.00047876,             0.00047876
                     74,                0.78813,                0.68318,                0.99409,                 0.8639,                0.91612,                0.91396,                0.69701,                0.88019,                0.75056,                  1.026,             0.00046226,             0.00046226,             0.00046226
                     75,                0.82978,                0.71195,                0.99855,                0.87638,                0.90423,                0.92815,                0.68524,                0.90503,                0.73493,                 1.0541,             0.00044576,             0.00044576,             0.00044576
                     76,                0.82038,                0.68344,                0.99358,                0.88396,                0.91258,                0.92804,                0.68073,                 0.9052,                0.72563,                 1.0502,             0.00042925,             0.00042925,             0.00042925
                     77,                0.78842,                0.69478,                 0.9888,                0.87695,                 0.8798,                0.91118,                0.67402,                0.92255,                0.71019,                  1.042,             0.00041275,             0.00041275,             0.00041275
                     78,                0.77919,                0.69922,                0.98117,                0.88409,                0.88148,                 0.9139,                 0.6841,                0.91079,                 0.7365,                 1.0179,             0.00039625,             0.00039625,             0.00039625
                     79,                0.77709,                 0.6992,                0.99433,                0.90239,                0.86277,                0.92956,                0.70381,                0.91328,                0.68254,                 1.0364,             0.00037974,             0.00037974,             0.00037974
                     80,                 0.7874,                0.72745,                0.99602,                0.86857,                0.91092,                0.94153,                0.71489,                0.90317,                 0.6748,                 1.0182,             0.00036324,             0.00036324,             0.00036324
                     81,                 0.7682,                0.67856,                 1.0041,                0.88582,                0.87558,                0.93709,                0.69513,                 0.9009,                0.67889,                 1.0194,             0.00034674,             0.00034674,             0.00034674
                     82,                0.77473,                0.64668,                0.98615,                0.89342,                 0.8554,                0.91842,                0.68856,                0.94905,                0.68395,                 1.0808,             0.00033023,             0.00033023,             0.00033023
                     83,                0.76486,                 0.6976,                0.99618,                0.84505,                0.91117,                0.91611,                0.68613,                0.90747,                0.67941,                 1.0567,             0.00031373,             0.00031373,             0.00031373
                     84,                0.73168,                0.63952,                0.96852,                 0.8613,                0.90014,                0.92644,                0.68157,                  0.929,                0.66778,                 1.0693,             0.00029723,             0.00029723,             0.00029723
                     85,                 0.7713,                0.68681,                0.99058,                0.88806,                0.91576,                0.92664,                0.68802,                0.89563,                0.67399,                 1.0564,             0.00028072,             0.00028072,             0.00028072
                     86,                0.72846,                0.64132,                0.97169,                0.88888,                0.91235,                0.92935,                0.69987,                 0.8713,                0.67157,                 1.0319,             0.00026422,             0.00026422,             0.00026422
                     87,                0.73158,                0.65286,                0.96972,                 0.8844,                0.91078,                0.93388,                0.69127,                0.90009,                 0.6669,                  1.035,             0.00024772,             0.00024772,             0.00024772
                     88,                0.75553,                0.64498,                0.99513,                0.88285,                0.92373,                0.93012,                0.69105,                0.88453,                0.67116,                 1.0282,             0.00023121,             0.00023121,             0.00023121
                     89,                 0.7766,                0.67008,                0.98851,                 0.9035,                 0.9007,                0.92806,                0.70404,                0.85845,                 0.6739,                 1.0267,             0.00021471,             0.00021471,             0.00021471
                     90,                0.61798,                0.54829,                0.90612,                0.89954,                0.89346,                0.92915,                0.69817,                0.85956,                0.66856,                 1.0214,             0.00019821,             0.00019821,             0.00019821
                     91,                0.63714,                0.52728,                0.90428,                0.91273,                0.89346,                0.92496,                0.69635,                0.85837,                0.66296,                 1.0152,              0.0001817,              0.0001817,              0.0001817
                     92,                0.60412,                0.49944,                0.89392,                0.88991,                0.89525,                0.92593,                0.70253,                0.87867,                0.65317,                 1.0292,              0.0001652,              0.0001652,              0.0001652
                     93,                0.57382,                0.47814,                0.88734,                0.88467,                0.90645,                0.92507,                0.71184,                0.85102,                0.65175,                   1.03,              0.0001487,              0.0001487,              0.0001487
                     94,                0.55884,                0.46781,                0.87785,                 0.8774,                0.88417,                 0.9213,                0.70917,                0.86129,                0.65536,                 1.0376,             0.00013219,             0.00013219,             0.00013219
                     95,                0.55079,                0.47227,                0.87005,                 0.8843,                0.90526,                0.93109,                0.70522,                0.86354,                0.63011,                 1.0223,             0.00011569,             0.00011569,             0.00011569
                     96,                0.55763,                 0.4621,                0.89145,                0.88272,                0.91304,                0.92884,                0.70902,                0.84252,                0.61864,                 1.0199,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.53677,                0.46056,                0.87498,                0.88214,                0.92733,                0.93229,                0.71331,                0.83571,                0.60144,                 1.0199,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.57051,                 0.4829,                0.88133,                0.90143,                0.90935,                0.93253,                0.71667,                0.82738,                 0.5978,                 1.0175,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.55538,                0.45381,                0.88274,                0.90293,                0.90795,                  0.932,                0.71832,                 0.8199,                0.59611,                 1.0119,             4.9677e-05,             4.9677e-05,             4.9677e-05
