                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1106,                 3.0084,                 3.9236,                  1.915,                0.00571,                0.84545,                0.08568,                0.03993,                0.00461,                 0.6702,                0.09016,                0.02345,                 1.6943,                 1.0604,                 3.5197,                 1.8355,             0.00021671,             0.00021671,             0.00021671
                      1,                 1.4916,                 1.1616,                 2.7959,                 1.3921,                0.00607,                0.89444,                0.14014,                0.06677,                0.00601,                0.88333,                0.20119,                0.07123,                 1.6918,                0.85979,                 3.3746,                 1.7991,             0.00043524,             0.00043524,             0.00043524
                      2,                 1.5752,                 1.0363,                 2.6153,                  1.427,                0.00585,                0.86465,                  0.139,                0.05455,                0.00616,                 0.9096,                0.18102,                0.06658,                 1.8054,                0.76523,                 3.3388,                 1.8196,             0.00063836,             0.00063836,             0.00063836
                      3,                 1.5707,                 1.0166,                 2.5398,                  1.442,                0.58024,                0.03788,                0.02304,                0.00492,                0.00324,                0.47778,                0.00305,                0.00094,                 2.1685,                 1.7675,                  3.891,                 2.6827,             0.00082608,             0.00082608,             0.00082608
                      4,                 1.5399,                 1.0476,                 2.3801,                 1.3892,                0.29666,                0.16919,                0.15183,                0.05495,                0.17358,                0.11667,                0.06188,                0.02005,                 1.9495,                 1.4333,                 3.4214,                  2.032,              0.0009984,              0.0009984,              0.0009984
                      5,                 1.5082,                 1.0465,                 2.2861,                 1.3498,                0.29651,                0.28081,                0.21552,                0.09041,                0.23267,                0.22929,                0.16682,                0.06018,                 1.8173,                0.93345,                 2.8359,                 1.7624,              0.0011553,              0.0011553,              0.0011553
                      6,                 1.5243,                0.98959,                 2.1764,                 1.3371,                0.30803,                0.41061,                0.28698,                0.12743,                0.28014,                0.30484,                0.22145,                0.08155,                 1.7839,                0.86248,                  2.804,                 1.7079,              0.0012968,              0.0012968,              0.0012968
                      7,                 1.4264,                0.94579,                 2.0784,                 1.2823,                0.45083,                0.36263,                0.35741,                0.18547,                0.48755,                0.38889,                0.40881,                0.19564,                 1.6325,                0.62196,                 2.5053,                 1.4942,              0.0012819,              0.0012819,              0.0012819
                      8,                 1.4475,                0.89038,                  1.982,                  1.289,                0.36539,                0.39424,                0.34312,                0.18412,                0.33347,                0.50859,                0.37739,                  0.184,                 1.7173,                0.71866,                 2.6036,                 1.6398,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.3906,                0.92858,                 1.8761,                 1.2419,                0.36932,                0.48451,                0.37723,                0.19143,                0.37797,                0.49096,                0.39503,                0.17958,                 1.6102,                0.62821,                 2.2403,                 1.5017,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.3177,                0.89341,                 1.8188,                  1.221,                0.51189,                0.53331,                 0.4348,                0.21572,                0.54155,                0.55553,                0.46961,                0.21503,                 1.4556,                0.60452,                 2.2985,                 1.4377,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.2959,                0.86541,                 1.7411,                 1.1991,                0.52979,                0.42005,                0.45369,                0.24877,                0.54802,                0.48636,                0.51768,                 0.2394,                 1.4508,                0.58647,                  2.176,                 1.4032,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.2215,                0.87326,                 1.5735,                 1.1422,                0.44086,                0.50505,                0.44179,                0.23447,                0.47296,                0.50909,                0.48204,                0.22512,                 1.3417,                0.54369,                 2.0832,                 1.3282,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.2512,                0.82168,                  1.674,                 1.1559,                0.41216,                0.56845,                0.46377,                0.27508,                0.43148,                0.56869,                0.48852,                0.24053,                 1.3306,                0.64749,                 2.1317,                 1.3445,              0.0010069,              0.0010069,              0.0010069
                     14,                 1.1592,                0.74135,                 1.5231,                 1.1262,                0.58911,                 0.5702,                 0.5913,                0.38818,                0.62302,                0.58485,                0.63437,                0.32314,                 1.1096,                0.56885,                 1.7694,                 1.1227,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.2089,                0.82826,                 1.4741,                 1.1359,                0.70774,                0.58283,                0.61779,                0.37312,                0.70478,                0.58283,                 0.6412,                0.33512,                 1.1775,                0.51529,                 1.7366,                 1.1668,             0.00089685,             0.00089685,             0.00089685
                     16,                 1.0852,                0.73468,                 1.3224,                 1.0708,                0.68313,                 0.6393,                0.68786,                0.45263,                0.73249,                0.68006,                0.73092,                0.40606,                 1.0929,                0.51915,                 1.5383,                 1.1307,             0.00084184,             0.00084184,             0.00084184
                     17,                 1.1065,                0.80308,                 1.2972,                 1.0989,                0.74736,                0.68336,                0.75666,                0.51587,                0.72411,                0.69883,                0.75115,                0.39505,                 1.0337,                 0.5481,                 1.3965,                 1.1401,             0.00078682,             0.00078682,             0.00078682
