                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.337,                 2.7675,                 4.4321,                 2.1707,                 0.0056,                0.82323,                0.11546,                0.04845,                0.00337,                0.48687,                0.04452,                0.00933,                 1.5593,                 1.2944,                 3.3848,                 1.6355,             0.00021671,             0.00021671,             0.00021671
                      1,                 1.6726,                 1.0736,                 3.3004,                 1.5903,                0.00547,                0.80808,                0.19562,                0.08805,                0.00567,                0.82727,                0.23576,                0.06801,                 1.4494,                 1.0068,                 3.2835,                 1.4753,             0.00040553,             0.00040553,             0.00040553
                      2,                 1.6518,                0.97579,                 3.0893,                  1.498,                0.00628,                0.79697,                0.22676,                0.10501,                0.00628,                0.76768,                0.25246,                0.06536,                  1.651,                0.90021,                 3.2813,                 1.5629,             0.00054814,             0.00054814,             0.00054814
                      3,                 1.6571,                0.89325,                 3.0103,                 1.5367,                0.82598,                 0.0835,                0.22555,                 0.1059,                0.82598,                 0.0835,                0.26193,                0.09986,                 1.7859,                0.79682,                 3.1546,                  1.637,             0.00064455,             0.00064455,             0.00064455
                      4,                 1.6215,                0.93126,                 2.8129,                 1.4705,                0.41339,                0.21967,                0.28311,                 0.1426,                 0.4478,                0.25354,                0.35332,                0.13432,                 1.6804,                0.73513,                 2.7793,                 1.4907,             0.00069474,             0.00069474,             0.00069474
                      5,                 1.6212,                0.85231,                 2.7715,                 1.4602,                0.26178,                0.38788,                0.27054,                0.14459,                0.31083,                0.43004,                0.31155,                 0.1211,                 1.6815,                0.70222,                 2.6419,                 1.5235,             0.00069872,             0.00069872,             0.00069872
                      6,                 1.5449,                0.86141,                 2.5776,                 1.3849,                0.42366,                0.35808,                0.35797,                0.19906,                0.31365,                 0.5276,                0.38728,                0.18407,                 1.5926,                0.66164,                 2.3903,                 1.4695,              0.0006565,              0.0006565,              0.0006565
                      7,                 1.4739,                0.78597,                 2.4352,                 1.3338,                0.44088,                0.43333,                0.42014,                0.20475,                0.47738,                0.54899,                0.50361,                0.21436,                 1.5602,                0.57706,                 2.3175,                 1.5138,             0.00051177,             0.00051177,             0.00051177
                      8,                 1.3918,                0.84658,                 2.2838,                  1.281,                0.52244,                0.55895,                0.49513,                0.27311,                0.53558,                0.58182,                0.52653,                0.23759,                 1.4497,                0.61236,                 2.2306,                 1.3533,             0.00051177,             0.00051177,             0.00051177
                      9,                   1.34,                0.79392,                 2.1463,                 1.2584,                 0.6502,                0.53485,                0.58115,                0.33763,                0.61128,                 0.5798,                0.61202,                0.29197,                 1.3759,                0.60542,                 1.9804,                  1.319,             0.00034674,             0.00034674,             0.00034674
