                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3332,                 2.9889,                 4.4545,                 2.1745,                0.00579,                0.85303,                0.10679,                0.04907,                0.00106,                0.15354,                0.00339,                0.00064,                  1.584,                 1.4073,                 3.3791,                 1.6466,             0.00021671,             0.00021671,             0.00021671
                      1,                 1.6528,                 1.1348,                 3.2957,                 1.5365,                0.00609,                0.89444,                0.17451,                0.09382,                0.00371,                    0.5,                0.05644,                 0.0114,                 1.4872,                 1.0844,                 3.2709,                 1.4924,             0.00040553,             0.00040553,             0.00040553
                      2,                 1.6355,                 1.0469,                 3.1528,                 1.5236,                0.00574,                0.84242,                0.22515,                0.10849,                 0.0034,                0.46263,                0.09659,                0.02905,                 1.6667,                 1.1847,                 3.2626,                 1.6333,             0.00054814,             0.00054814,             0.00054814
                      3,                 1.6043,                0.94651,                 3.0078,                 1.5145,                0.40987,                 0.1798,                0.20803,                0.11001,                0.28016,                 0.1202,                0.13394,                0.03054,                 1.6016,                0.86261,                 2.9966,                 1.5723,             0.00064455,             0.00064455,             0.00064455
                      4,                  1.567,                0.86633,                  2.819,                 1.4425,                0.34367,                0.36035,                0.26989,                0.13873,                0.36529,                0.28838,                0.21695,                0.06398,                 1.6236,                0.72457,                 2.7076,                 1.5642,             0.00069474,             0.00069474,             0.00069474
                      5,                 1.5671,                0.84265,                 2.7708,                 1.4308,                0.59099,                  0.343,                0.36768,                0.19506,                0.27631,                0.16818,                0.10691,                0.02031,                 1.5788,                 0.8644,                 2.6612,                 1.5098,             0.00069872,             0.00069872,             0.00069872
                      6,                 1.4768,                0.87901,                 2.5473,                 1.3806,                0.46985,                 0.4399,                0.40035,                0.21198,                0.37527,                0.30707,                0.24068,                 0.0685,                 1.5324,                0.69683,                 2.3647,                 1.4286,              0.0006565,              0.0006565,              0.0006565
                      7,                 1.4552,                0.81824,                  2.451,                 1.3363,                0.54358,                0.42172,                0.42343,                0.22788,                0.46672,                0.32576,                 0.2748,                0.06453,                 1.4975,                0.68719,                 2.3037,                 1.3958,             0.00051177,             0.00051177,             0.00051177
                      8,                 1.3866,                0.80826,                  2.308,                 1.3014,                0.56257,                   0.51,                 0.4919,                0.28473,                0.48444,                0.36768,                0.31514,                0.08232,                 1.4111,                0.61659,                 2.1682,                 1.4023,             0.00051177,             0.00051177,             0.00051177
                      9,                  1.306,                0.75755,                 2.1534,                 1.2658,                0.58824,                0.51616,                0.52223,                0.32082,                0.49124,                0.42778,                0.35969,                0.09546,                 1.2917,                0.59867,                 2.0747,                  1.326,             0.00034674,             0.00034674,             0.00034674
