                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2925,                 3.3201,                 4.9599,                 1.9329,                0.04162,                0.43283,                0.03179,                 0.0118,                0.05172,                0.13081,                0.02606,                0.00651,                 1.7917,                0.82909,                 9.2897,                 1.8039,             0.00021671,             0.00021671,             0.00021671
                      1,                 1.4801,                 1.1227,                 2.5666,                 1.3482,                0.08923,                0.28737,                 0.1062,                0.04195,                0.08644,                0.23081,                0.09299,                0.02456,                 1.9169,                0.66797,                 4.1458,                 1.9587,             0.00044563,             0.00044563,             0.00044563
                      2,                 1.4626,                 1.0519,                 2.2923,                 1.3931,                0.14171,                0.34293,                0.14049,                 0.0633,                0.08109,                0.32222,                0.05734,                 0.0136,                 1.9554,                0.79474,                 4.9232,                 2.0092,             0.00066994,             0.00066994,             0.00066994
                      3,                 1.4854,                0.86067,                  2.029,                 1.3463,                0.08328,                0.18838,                0.04396,                0.01693,                0.06415,                0.18384,                0.02414,                0.00668,                 2.1266,                 1.3989,                 6.0045,                 2.1817,             0.00088962,             0.00088962,             0.00088962
                      4,                 1.4731,                  1.028,                 1.9461,                 1.3355,                0.11437,                0.26616,                0.10287,                0.03892,                0.07465,                0.28636,                0.07043,                 0.0243,                 2.0078,                 1.0147,                 3.9572,                 1.9375,              0.0011047,              0.0011047,              0.0011047
                      5,                 1.4726,                 1.0294,                 1.7473,                 1.3329,                0.27594,                0.50969,                0.36229,                0.18028,                0.19446,                0.31061,                0.21324,                0.06152,                 1.7448,                0.83119,                 3.4789,                 1.8822,              0.0013151,              0.0013151,              0.0013151
                      6,                 1.4765,                0.98212,                 1.7202,                 1.3464,                0.39147,                0.44999,                0.31829,                0.11712,                0.16507,                0.23687,                0.09874,                 0.0274,                 1.9884,                0.71328,                 4.6048,                 2.3631,              0.0015209,              0.0015209,              0.0015209
                      7,                 1.4519,                0.90233,                 1.6732,                 1.3506,                0.28015,                0.27424,                0.17623,                0.07563,                0.20656,                0.21818,                0.09916,                 0.0278,                 2.3746,                 1.4655,                 3.2168,                 2.2089,              0.0015515,              0.0015515,              0.0015515
                      8,                  1.422,                0.92723,                 1.5374,                  1.326,                 0.2008,                0.19091,                0.08811,                0.03269,                 0.0873,                0.07929,                0.02179,                0.00417,                 2.5573,                 4.8038,                 3.9324,                 2.3998,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.4169,                0.99432,                 1.5477,                 1.3072,                0.17793,                0.27828,                0.10765,                0.04539,                 0.0685,                0.08333,                0.04484,                0.01038,                 2.4109,                  1.679,                  5.331,                  2.447,               0.001535,               0.001535,               0.001535
                     10,                 1.3586,                0.90954,                 1.5295,                 1.2732,                0.40692,                0.37677,                0.35109,                 0.1998,                0.33689,                0.28788,                0.24382,                0.06381,                 1.7036,                0.62539,                 2.5446,                 1.8705,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.2751,                0.88977,                 1.3891,                  1.231,                0.49524,                 0.5327,                 0.4935,                0.27118,                0.38166,                0.41533,                0.29301,                0.07235,                 1.6824,                0.63729,                 1.9544,                  1.888,               0.001502,               0.001502,               0.001502
                     12,                 1.2563,                0.87726,                 1.3332,                 1.2082,                0.58202,                0.51263,                0.55521,                0.32713,                0.39545,                0.32323,                0.30639,                0.07979,                  1.467,                0.68805,                 1.8898,                 1.6294,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.2812,                0.88961,                 1.4468,                 1.2353,                0.58426,                0.44293,                0.49447,                 0.2673,                0.46687,                0.29394,                0.29707,                0.07774,                 1.4703,                0.65597,                 2.1405,                 1.6089,               0.001469,               0.001469,               0.001469
                     14,                 1.1577,                0.81232,                 1.3147,                 1.1595,                0.42986,                0.57976,                0.49562,                0.28958,                0.32457,                 0.4623,                0.30124,                0.10069,                 1.4246,                0.62792,                 2.0719,                 1.4946,              0.0014525,              0.0014525,              0.0014525
