                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9119,                 3.1878,                 5.0783,                 1.9657,                0.00566,                0.69697,                0.07636,                 0.0362,                 0.0013,                0.16111,                0.00462,                0.00083,                 1.7189,                 2.1894,                 4.5691,                 2.4105,             0.00021671,             0.00021671,             0.00021671
                      1,                 1.4362,                 1.0997,                 3.9509,                 1.5764,                0.00631,                0.82374,                0.17621,                0.08909,                0.00694,                0.92071,                0.19675,                0.07901,                 1.6045,                0.73762,                 4.4395,                 2.0428,             0.00042781,             0.00042781,             0.00042781
                      2,                 1.4499,                0.93822,                 3.6555,                 1.5555,                0.00346,                0.50758,                0.01896,                 0.0053,                0.00621,                0.88788,                0.05632,                0.02116,                  2.472,                0.65983,                 5.2543,                 3.4357,             0.00061581,             0.00061581,             0.00061581
                      3,                 1.4261,                0.87719,                 3.4341,                 1.4939,                 0.5541,                0.09798,                0.19875,                 0.0814,                0.59336,                0.11313,                0.24481,                0.08961,                 1.9678,                0.89582,                 4.3153,                 2.4441,              0.0007807,              0.0007807,              0.0007807
                      4,                 1.4342,                0.96597,                 3.1676,                  1.465,                0.29863,                0.36414,                0.28099,                0.14926,                0.34295,                0.38333,                0.30534,                0.13524,                 1.6282,                0.71002,                   3.63,                  2.023,             0.00092248,             0.00092248,             0.00092248
                      5,                 1.3231,                0.96845,                 2.9544,                 1.3562,                0.37374,                0.30859,                0.26933,                0.14247,                 0.3836,                   0.35,                 0.3067,                 0.1117,                 1.6341,                 1.1053,                 3.3609,                 2.0495,              0.0010412,              0.0010412,              0.0010412
                      6,                 1.3366,                0.89315,                 2.8567,                 1.3624,                0.44447,                0.30387,                0.26889,                0.13366,                0.44447,                0.30387,                0.27298,                0.13204,                 1.5541,                  0.697,                 3.4453,                 1.9339,              0.0011367,              0.0011367,              0.0011367
                      7,                 1.2451,                0.78711,                 2.7936,                  1.343,                0.42096,                0.46519,                0.36475,                0.21839,                0.60166,                0.32424,                0.41809,                 0.2013,                 1.3899,                0.53208,                 3.8422,                 1.7658,              0.0010894,              0.0010894,              0.0010894
                      8,                  1.226,                0.75918,                 2.5082,                 1.3133,                0.52373,                0.39246,                0.35984,                0.19913,                0.49599,                0.51094,                0.43132,                0.21923,                 1.5513,                0.55165,                 3.2245,                 1.8914,              0.0010894,              0.0010894,              0.0010894
                      9,                 1.2441,                0.81263,                 2.4022,                 1.2763,                0.34998,                0.53384,                0.40582,                0.22769,                0.39741,                0.56364,                 0.4334,                0.22345,                 1.3983,                0.51342,                 2.8911,                  1.699,              0.0010069,              0.0010069,              0.0010069
                     10,                  1.479,                0.66728,                 3.4962,                 1.5963,                0.35691,                 0.3899,                0.30916,                0.13367,                0.41441,                0.39905,                0.43957,                0.17915,                 1.6694,                0.50701,                 3.1601,                 1.9428,             0.00092435,             0.00092435,             0.00092435
                     11,                 1.4567,                0.65039,                  3.398,                 1.5534,                0.44692,                0.52778,                 0.4926,                0.30024,                0.51177,                0.60008,                0.56545,                0.27418,                 1.2916,                0.54367,                 2.6181,                  1.528,             0.00084184,             0.00084184,             0.00084184
                     12,                 1.2517,                0.62534,                 2.8739,                 1.3876,                0.45252,                0.48131,                0.47815,                0.27568,                0.56063,                0.44454,                 0.5118,                0.24382,                 1.4063,                0.55081,                 2.9948,                 1.6056,             0.00075932,             0.00075932,             0.00075932
                     13,                 1.2707,                0.62108,                 2.8954,                 1.4191,                0.59362,                0.53784,                 0.6016,                0.36718,                0.62855,                0.58414,                 0.6381,                0.34006,                 1.2567,                0.48411,                 2.4191,                 1.5025,              0.0006768,              0.0006768,              0.0006768
                     14,                 1.1551,                0.55311,                 2.6688,                 1.3566,                0.51822,                0.59697,                0.60869,                0.38219,                0.64305,                0.66768,                 0.7067,                0.37202,                 1.3036,                0.49856,                 2.5482,                 1.5864,             0.00059429,             0.00059429,             0.00059429
                     15,                 1.1115,                0.59891,                 2.4389,                 1.3067,                0.72907,                0.61465,                0.71233,                0.44692,                0.76862,                0.65704,                0.74836,                0.41714,                  1.175,                0.42725,                 2.2577,                 1.4381,             0.00051177,             0.00051177,             0.00051177
                     16,                 1.0749,                0.54086,                 2.3589,                 1.2772,                0.64944,                0.76597,                0.78771,                0.53216,                0.78412,                0.64848,                0.80403,                0.45287,                 1.0306,                0.39226,                 2.0421,                 1.3153,             0.00042925,             0.00042925,             0.00042925
                     17,                 1.0488,                0.52648,                 2.3703,                 1.2683,                0.69584,                0.78895,                0.78835,                0.56639,                 0.7044,                0.78576,                0.81014,                0.47298,                0.96399,                0.40646,                 1.9722,                 1.2564,             0.00034674,             0.00034674,             0.00034674
                     18,                 1.0245,                 0.5461,                 2.3013,                 1.2506,                0.77535,                0.77879,                0.84701,                0.60747,                0.78943,                0.78173,                0.85069,                0.50793,                0.98483,                0.40853,                 1.8853,                 1.2968,             0.00026422,             0.00026422,             0.00026422
                     19,                0.99362,                0.55524,                 2.1639,                 1.2498,                0.83411,                0.75253,                0.86036,                0.62545,                 0.8523,                0.77388,                0.87411,                 0.5324,                0.90449,                0.38682,                 1.8291,                 1.2362,              0.0001817,              0.0001817,              0.0001817
