                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1113,                 3.0022,                 3.9214,                 1.9133,                0.00594,                0.87172,                0.09918,                0.03641,                0.00471,                0.68131,                0.07684,                0.02027,                 1.7436,                 1.0948,                 3.5559,                 1.8763,             0.00021671,             0.00021671,             0.00021671
                      1,                 1.5373,                 1.1704,                  2.771,                 1.3912,                0.00605,                0.89091,                0.09564,                0.04371,                0.00574,                0.85657,                0.15899,                 0.0523,                 1.7046,                0.91414,                 3.3942,                 1.7872,             0.00044563,             0.00044563,             0.00044563
                      2,                 1.5632,                 1.0269,                 2.5816,                   1.41,                  0.021,                0.44697,                0.10324,                 0.0499,                0.02933,                0.66667,                0.15532,                0.06518,                 1.9284,                0.91812,                 3.3823,                 2.1099,             0.00066994,             0.00066994,             0.00066994
                      3,                 1.5514,                 1.0207,                  2.496,                 1.4102,                0.10642,                0.08333,                0.12527,                0.04458,                0.06366,                0.05303,                0.05556,                0.01584,                 1.9405,                 1.5002,                 3.2696,                  2.023,             0.00088962,             0.00088962,             0.00088962
                      4,                 1.5624,                 1.0796,                  2.408,                 1.4186,                0.39106,                   0.25,                0.23901,                0.11241,                0.38038,                0.25546,                0.25921,                 0.0905,                  1.698,                0.86063,                 2.9237,                 1.6764,              0.0011047,              0.0011047,              0.0011047
                      5,                 1.5286,                 1.0838,                 2.3195,                 1.3636,                0.36658,                   0.33,                0.22918,                0.07532,                0.16517,                0.10909,                0.05272,                 0.0155,                 2.1027,                 1.6027,                 2.9997,                 1.9333,              0.0013151,              0.0013151,              0.0013151
                      6,                 1.5308,                 1.0507,                 2.2002,                 1.3525,                0.19031,                0.25808,                  0.188,                 0.0903,                0.24337,                0.32929,                0.24601,                0.11459,                 2.0871,                0.68853,                 2.9741,                 1.9311,              0.0015209,              0.0015209,              0.0015209
                      7,                 1.4501,                0.98855,                 2.1717,                 1.2969,                0.47793,                0.26646,                0.26717,                0.11844,                0.53377,                0.31018,                0.32387,                0.13543,                 1.9646,                0.68802,                 2.7873,                 1.7954,              0.0015515,              0.0015515,              0.0015515
                      8,                  1.438,                0.92137,                 1.9862,                 1.2734,                0.38992,                0.47907,                0.35596,                0.18203,                0.36833,                0.54798,                0.36899,                0.14473,                 1.6744,                0.73658,                 2.8945,                 1.5744,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.3754,                0.98179,                  1.872,                 1.2364,                0.36901,                0.39717,                0.32525,                0.15196,                0.45936,                0.34343,                0.34342,                0.14118,                 1.7323,                0.68326,                 2.5335,                 1.5979,               0.001535,               0.001535,               0.001535
                     10,                 1.3194,                0.92447,                 1.8225,                 1.2267,                 0.7761,                 0.2197,                0.38499,                0.22132,                0.70093,                0.28788,                 0.4194,                0.20003,                 1.4509,                0.62699,                 2.7582,                 1.4533,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.3393,                0.86082,                 1.8112,                  1.221,                0.42691,                0.54799,                0.40212,                0.21812,                0.43492,                0.56614,                0.43843,                0.20131,                 1.4426,                0.58766,                 2.1543,                 1.4255,               0.001502,               0.001502,               0.001502
                     12,                 1.2436,                 0.8702,                 1.6084,                 1.1663,                0.41954,                0.51111,                 0.3971,                0.22179,                0.45604,                0.48135,                 0.4436,                0.19197,                 1.6256,                0.69425,                 2.1759,                 1.4779,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.3792,                0.90775,                 1.7436,                 1.2246,                0.51314,                0.44696,                0.49101,                0.28123,                0.42314,                0.46263,                0.46717,                0.21625,                 1.5468,                0.66491,                 1.8912,                 1.4321,               0.001469,               0.001469,               0.001469
                     14,                 1.2846,                0.82828,                 1.5882,                 1.1851,                0.46695,                0.50657,                0.46926,                0.27262,                0.48307,                0.52525,                0.50892,                0.24464,                 1.5361,                0.60342,                 1.9418,                 1.4508,              0.0014525,              0.0014525,              0.0014525
