                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1091,                 3.0108,                  3.922,                 1.9131,                0.00578,                0.85303,                0.08911,                0.04061,                0.00473,                0.68889,                0.08414,                0.02389,                 1.6765,                 1.0359,                 3.5319,                 1.8173,             0.00021671,             0.00021671,             0.00021671
                      1,                 1.5175,                 1.1527,                 2.7837,                 1.3931,                0.00599,                0.88687,                0.08682,                0.03617,                0.00587,                0.86818,                0.13186,                0.04514,                 1.7363,                0.85868,                 3.4176,                 1.8018,             0.00044118,             0.00044118,             0.00044118
                      2,                 1.5673,                 1.0222,                 2.6288,                 1.4296,                0.07863,                 0.4803,                0.10845,                 0.0409,                0.09431,                0.56212,                0.13967,                0.04793,                 1.8358,                0.87717,                 3.4021,                 1.9527,              0.0006564,              0.0006564,              0.0006564
                      3,                 1.5073,                0.99891,                  2.543,                 1.3902,                0.85542,                0.03733,                0.07438,                0.02396,                0.85542,                0.03733,                0.09532,                0.02738,                 1.9849,                 1.7259,                 3.6426,                 2.3403,             0.00086239,             0.00086239,             0.00086239
                      4,                 1.5009,                 1.0585,                 2.4233,                 1.3893,                0.37615,                0.27778,                0.23504,                0.12021,                0.45016,                0.31869,                0.28616,                0.09824,                 1.6541,                  1.143,                 2.9384,                 1.7165,              0.0010591,              0.0010591,              0.0010591
                      5,                 1.5039,                  1.037,                 2.3081,                 1.3411,                0.40812,                0.28434,                 0.2658,                0.12516,                0.36523,                0.19495,                0.15438,                0.05024,                 1.9923,                 1.1086,                 2.7749,                 1.8673,              0.0012466,              0.0012466,              0.0012466
                      6,                 1.5347,                 1.0179,                 2.1977,                 1.3709,                  0.197,                0.37778,                0.15134,                  0.068,                0.22483,                 0.4298,                0.18271,                0.07944,                 1.8843,                 0.6974,                 3.3557,                 1.9111,              0.0014249,              0.0014249,              0.0014249
                      7,                 1.5077,                0.92602,                 2.1734,                 1.3359,                0.32612,                0.33315,                   0.25,                0.09547,                0.36644,                0.37828,                0.30579,                0.14176,                 1.9374,                0.66336,                 2.9751,                 1.8039,               0.001436,               0.001436,               0.001436
                      8,                 1.4705,                0.90504,                 2.0459,                 1.3309,                0.17542,                0.28535,                0.13938,                0.04456,                 0.2287,                 0.4596,                0.21444,                0.07811,                 2.0456,                0.77519,                 3.9121,                 1.9631,               0.001436,               0.001436,               0.001436
                      9,                 1.3763,                0.95053,                  1.892,                  1.261,                0.39421,                0.49293,                0.41435,                0.20283,                0.44032,                0.49293,                 0.4558,                0.20434,                 1.5507,                0.68332,                 2.3908,                  1.468,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.2878,                0.89847,                 1.7384,                 1.2141,                0.32986,                0.49848,                 0.3458,                0.19075,                0.37254,                0.54878,                 0.4093,                0.18698,                 1.5257,                0.59172,                 2.5014,                 1.4971,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.2704,                0.89339,                  1.769,                 1.2013,                0.25599,                0.52051,                0.31776,                0.16651,                0.28295,                0.56566,                0.36932,                0.18415,                 1.5694,                0.62994,                 2.5585,                 1.5174,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.2162,                0.89004,                 1.6436,                 1.1538,                0.46868,                0.58714,                0.45477,                0.25644,                0.46853,                 0.5842,                0.48474,                0.22557,                 1.4371,                0.65522,                 2.1096,                 1.4105,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.2633,                0.86594,                 1.6496,                 1.1767,                0.47306,                0.55551,                0.54634,                0.32902,                0.45712,                0.60505,                0.57244,                0.25368,                 1.2399,                0.64458,                 1.7928,                 1.2332,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.1977,                0.80197,                 1.5433,                 1.1491,                0.57124,                0.57879,                0.55139,                0.34201,                0.55117,                0.56768,                0.54881,                0.27553,                 1.2025,                0.63287,                 1.7949,                 1.2295,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.2112,                0.84911,                 1.5145,                 1.1517,                0.50442,                0.71919,                 0.5941,                0.37916,                0.53166,                0.75253,                0.63427,                0.33413,                 1.1734,                 0.5366,                 1.6545,                 1.2068,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.1276,                0.75066,                 1.4301,                 1.0958,                0.60942,                0.70758,                0.67872,                0.46245,                0.61977,                0.73384,                  0.704,                0.39414,                 1.0658,                0.52347,                 1.4492,                 1.1464,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.1495,                0.81868,                 1.3875,                 1.1118,                0.58927,                 0.5979,                0.62307,                0.38131,                0.62243,                0.61111,                 0.6457,                0.34092,                  1.208,                0.50114,                 1.6585,                 1.2472,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.0733,                0.82094,                  1.298,                 1.0823,                0.66871,                 0.6003,                0.69559,                0.46182,                0.68922,                 0.6298,                0.69988,                0.36332,                 1.0821,                0.48115,                 1.4451,                 1.1471,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.0735,                0.78037,                 1.2297,                 1.0858,                0.77865,                0.59642,                 0.7342,                 0.5043,                0.74208,                0.64798,                0.77239,                0.39702,                 1.0758,                0.52022,                 1.3607,                 1.1627,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.0464,                 0.7638,                 1.1913,                 1.0689,                0.74932,                 0.6546,                0.70908,                0.45877,                0.76449,                0.69839,                0.75195,                0.39527,                 1.1217,                0.48144,                 1.4035,                 1.1667,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.0796,                0.89643,                 1.2425,                 1.0847,                0.60839,                0.68182,                0.70066,                0.48849,                0.65439,                 0.7303,                0.73593,                0.40482,                 1.0579,                0.47426,                 1.4102,                 1.1595,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.0393,                 0.7786,                 1.1874,                 1.0629,                0.63614,                0.58838,                0.64312,                0.43224,                0.68651,                0.64805,                0.69377,                0.36913,                 1.0439,                0.47248,                 1.5044,                 1.1392,             0.00097386,             0.00097386,             0.00097386
                     23,                0.95895,                0.70395,                 1.1316,                  1.035,                0.69411,                0.68168,                0.71266,                0.48312,                 0.7657,                0.68282,                0.76977,                0.39372,                 1.0322,                0.50525,                 1.2864,                 1.1247,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.0221,                0.83393,                 1.1357,                 1.0504,                0.79424,                0.67424,                0.77545,                0.53521,                0.81848,                0.69293,                0.79367,                0.42311,                0.99736,                0.48922,                 1.2197,                 1.0904,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.0217,                0.74718,                  1.105,                 1.0496,                 0.7151,                 0.7821,                0.81082,                0.55088,                0.72049,                0.78823,                0.80548,                0.44028,                 1.0028,                0.48498,                 1.1876,                 1.0895,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.0085,                0.75601,                 1.1291,                 1.0592,                0.72659,                0.81313,                 0.7829,                0.56528,                0.74837,                0.83586,                0.81403,                0.44993,                0.92663,                0.46764,                 1.1797,                 1.0919,             0.00084184,             0.00084184,             0.00084184
                     27,                0.99833,                0.75357,                 1.1084,                 1.0416,                 0.6417,                0.64697,                0.60939,                0.40138,                0.66337,                 0.6803,                0.63683,                0.34961,                 1.0256,                0.45797,                 1.5962,                 1.1277,             0.00080883,             0.00080883,             0.00080883
                     28,                0.98106,                 0.7308,                 1.0696,                 1.0166,                0.68198,                0.80086,                0.78038,                0.55027,                0.70999,                0.82828,                0.80771,                0.45827,                0.97658,                0.43852,                 1.1492,                 1.0933,             0.00077582,             0.00077582,             0.00077582
                     29,                 0.9186,                0.69329,                0.99797,                 1.0082,                0.78647,                 0.7202,                  0.773,                0.58412,                 0.8156,                0.73864,                0.82082,                0.48002,                0.89646,                0.44609,                 1.2099,                 1.0849,             0.00074282,             0.00074282,             0.00074282
                     30,                0.89982,                0.69205,                0.98771,                 1.0036,                0.81787,                 0.6877,                0.77935,                0.57327,                0.82701,                0.69527,                0.80748,                0.46045,                0.90149,                0.43655,                 1.2301,                 1.0941,             0.00070981,             0.00070981,             0.00070981
                     31,                0.88711,                0.66185,                0.94727,                 1.0099,                0.84461,                0.76111,                0.85641,                0.64681,                0.75468,                0.86162,                 0.8658,                0.49222,                0.83338,                0.45017,                0.94543,                 1.0548,              0.0006768,              0.0006768,              0.0006768
                     32,                0.85516,                0.67013,                0.95469,                0.97697,                0.79756,                0.81376,                0.85153,                0.63409,                0.79766,                0.81307,                0.83797,                0.49816,                0.85911,                0.43661,                0.99372,                 1.0554,              0.0006438,              0.0006438,              0.0006438
                     33,                0.81863,                0.69224,                0.91065,                0.95774,                0.83054,                0.82914,                0.82525,                 0.6021,                0.83054,                0.82914,                0.83246,                0.49779,                0.87793,                0.43211,                 1.0304,                 1.1201,             0.00061079,             0.00061079,             0.00061079
                     34,                0.80983,                 0.6511,                0.88331,                0.96601,                0.79348,                0.85758,                0.84435,                0.62076,                0.81417,                0.85404,                0.85959,                0.52337,                 0.8768,                0.42335,                0.96839,                 1.1192,             0.00057778,             0.00057778,             0.00057778
                     35,                0.84735,                0.69985,                0.90204,                0.96462,                0.73997,                0.80556,                0.81523,                0.59542,                0.75718,                0.80556,                0.83085,                0.50358,                0.91236,                0.44172,                 1.0638,                 1.1082,             0.00054478,             0.00054478,             0.00054478
                     36,                 0.8103,                0.64724,                0.87298,                0.95688,                0.81856,                0.80399,                0.83149,                0.62372,                  0.828,                0.81158,                0.85177,                0.51503,                0.84005,                0.43488,                 1.0436,                 1.0592,             0.00051177,             0.00051177,             0.00051177
                     37,                0.76877,                0.61626,                0.81709,                0.97048,                0.72483,                0.87626,                0.83382,                0.64089,                0.73227,                0.83131,                0.82942,                0.51002,                0.75901,                0.42816,                0.98926,                 1.0165,             0.00047876,             0.00047876,             0.00047876
                     38,                0.76766,                0.65982,                0.82656,                0.95235,                0.82118,                0.77967,                0.84341,                0.65581,                0.85268,                0.79747,                0.87447,                0.52275,                0.74581,                0.41979,                0.92062,                 1.0144,             0.00044576,             0.00044576,             0.00044576
                     39,                0.70591,                0.56866,                0.76446,                0.92038,                0.83877,                0.85909,                0.85978,                0.67857,                0.85926,                0.88119,                0.87932,                  0.519,                0.73639,                0.43006,                0.87433,                 1.0002,             0.00041275,             0.00041275,             0.00041275
                     40,                0.74622,                0.54998,                 1.0156,                0.95106,                0.88296,                0.81667,                0.84878,                0.67375,                0.88788,                0.84842,                0.87896,                0.50341,                0.77951,                0.44658,                 0.9053,                 1.0147,             0.00037974,             0.00037974,             0.00037974
                     41,                 0.7141,                0.55484,                0.88785,                0.93262,                 0.8386,                0.84966,                 0.8361,                0.65015,                0.84838,                0.85702,                0.85367,                0.48844,                0.77228,                0.44637,                  1.011,                0.99945,             0.00034674,             0.00034674,             0.00034674
                     42,                 0.6883,                0.49466,                0.82519,                0.93035,                0.81952,                0.82251,                0.84251,                 0.6756,                0.83031,                0.83362,                0.85734,                  0.515,                0.72768,                0.43768,                0.94186,                0.98939,             0.00031373,             0.00031373,             0.00031373
                     43,                 0.6593,                0.49216,                0.78712,                0.92029,                0.83838,                0.74737,                0.80843,                0.63523,                0.76764,                0.83053,                0.82581,                0.48567,                0.71428,                0.42976,                 1.0119,                 0.9992,             0.00028072,             0.00028072,             0.00028072
