                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3392,                 2.7668,                 4.4382,                 2.1761,                0.00553,                0.81919,                0.12594,                0.05365,                0.00374,                0.54293,                0.05295,                0.01124,                  1.539,                 1.2621,                 3.3943,                  1.615,             0.00021671,             0.00021671,             0.00021671
                      1,                 1.6526,                 1.0736,                 3.3056,                 1.5741,                0.00528,                0.77475,                0.20769,                0.09467,                0.00603,                0.88333,                0.22516,                0.06897,                 1.4716,                0.97046,                 3.2791,                 1.5088,             0.00040553,             0.00040553,             0.00040553
                      2,                  1.624,                 1.0145,                 3.1981,                 1.5233,                0.00544,                0.77475,                0.21692,                0.09908,                0.00614,                0.85404,                0.20015,                0.05336,                  1.557,                0.89236,                 3.2096,                 1.4951,             0.00054814,             0.00054814,             0.00054814
                      3,                 1.6698,                0.86615,                 3.0392,                 1.5498,                0.81236,                0.04902,                 0.2264,                 0.1147,                0.81236,                0.04902,                0.25062,                0.08055,                 1.6297,                 0.8941,                 3.0596,                 1.5161,             0.00064455,             0.00064455,             0.00064455
                      4,                 1.6426,                0.90573,                 2.8624,                 1.4898,                0.33623,                0.17273,                 0.2135,                0.10964,                0.31045,                0.16965,                0.23791,                0.09195,                  1.623,                0.77288,                 2.8777,                  1.542,             0.00069474,             0.00069474,             0.00069474
                      5,                 1.6188,                0.82468,                 2.7874,                 1.4766,                0.36808,                0.29394,                 0.2953,                0.15782,                0.48919,                0.39798,                0.35844,                0.14328,                 1.5583,                0.68593,                 2.7608,                 1.5113,             0.00069872,             0.00069872,             0.00069872
                      6,                 1.5149,                0.86112,                 2.5858,                 1.3904,                0.25642,                0.44394,                0.32343,                0.18316,                0.35367,                0.49899,                0.41545,                0.16921,                 1.5035,                0.62713,                 2.5149,                 1.4731,              0.0006565,              0.0006565,              0.0006565
                      7,                 1.4793,                 0.8039,                 2.5161,                   1.37,                0.37926,                0.49596,                 0.4287,                0.23312,                0.37992,                0.52813,                0.45863,                0.21178,                 1.4486,                0.56825,                  2.278,                 1.3892,             0.00051177,             0.00051177,             0.00051177
                      8,                 1.3864,                0.91074,                 2.3379,                 1.3071,                0.30408,                0.51818,                0.39597,                0.23714,                0.35394,                0.58535,                0.44934,                0.20554,                 1.4631,                0.56443,                 2.2804,                 1.3832,             0.00051177,             0.00051177,             0.00051177
                      9,                 1.3428,                0.78669,                 2.2175,                 1.2811,                0.40426,                0.49697,                0.42892,                0.23097,                0.47667,                0.52727,                0.49229,                0.22271,                 1.4399,                0.56481,                 2.2626,                 1.4005,             0.00034674,             0.00034674,             0.00034674
