                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9206,                  3.191,                  5.075,                 1.9715,                0.00578,                0.69293,                0.08502,                0.03942,                0.00127,                0.15354,                 0.0045,                0.00069,                 1.7215,                 2.1658,                 4.5973,                 2.3731,             0.00021671,             0.00021671,             0.00021671
                      1,                 1.4119,                  1.097,                 3.9239,                  1.569,                0.00637,                0.81263,                0.13829,                0.07242,                0.00606,                0.77879,                 0.1673,                 0.0693,                 1.5951,                0.81233,                 4.4002,                  2.092,             0.00036097,             0.00036097,             0.00036097
                      2,                 1.4025,                0.93898,                 3.6597,                 1.5224,                0.00542,                 0.7904,                0.08934,                0.02946,                0.00623,                0.91364,                0.15623,                0.06003,                 1.9846,                0.65109,                  4.734,                 2.4904,             0.00041282,             0.00041282,             0.00041282
                      3,                 1.3223,                0.83826,                 3.4618,                 1.4173,                0.00644,                0.86869,                0.22009,                0.10805,                0.00668,                0.89848,                0.25174,                0.11696,                 1.5264,                0.61669,                 4.2805,                 1.8208,             0.00037224,             0.00037224,             0.00037224
                      4,                 1.2094,                0.86784,                 3.1149,                 1.3415,                0.53969,                0.10455,                0.32743,                0.17465,                0.56315,                0.10774,                0.36156,                0.18165,                  1.285,                0.49823,                 3.7618,                 1.6002,             0.00023925,             0.00023925,             0.00023925
