                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3386,                 2.7676,                 4.4405,                 2.1767,                0.00572,                0.84192,                 0.1278,                0.05483,                0.00361,                0.52424,                0.04648,                0.00989,                 1.5408,                 1.2642,                 3.3792,                 1.6036,             0.00021671,             0.00021671,             0.00021671
                      1,                  1.641,                 1.0802,                 3.2892,                 1.5816,                0.00534,                0.78939,                0.19105,                0.09501,                0.00578,                0.84949,                0.23299,                 0.0643,                 1.4781,                  1.103,                 3.3057,                 1.5228,             0.00040553,             0.00040553,             0.00040553
                      2,                 1.6178,                 1.0055,                  3.169,                 1.5111,                0.00547,                 0.7899,                 0.1983,                0.09676,                0.00568,                0.81263,                0.20648,                0.06903,                 1.5954,                 0.8375,                 3.2444,                 1.5266,             0.00054814,             0.00054814,             0.00054814
                      3,                 1.6514,                0.88004,                 3.0106,                 1.5812,                0.63659,                0.03342,                 0.1909,                0.08035,                0.68201,                0.04453,                0.22295,                0.06338,                 1.7117,                0.89966,                 3.2656,                 1.7407,             0.00064455,             0.00064455,             0.00064455
                      4,                 1.5997,                0.90109,                 2.8024,                 1.4909,                0.52201,                0.16241,                0.24897,                0.12857,                0.66784,                0.20233,                0.36283,                0.12476,                 1.6736,                0.71748,                 2.9467,                 1.5852,             0.00069474,             0.00069474,             0.00069474
                      5,                 1.5765,                0.80417,                 2.7393,                 1.4536,                 0.3457,                0.31444,                0.25805,                0.12178,                0.35566,                0.32121,                0.27466,                0.09565,                 1.6331,                0.78173,                 2.7601,                 1.5794,             0.00069872,             0.00069872,             0.00069872
                      6,                 1.5562,                0.85357,                 2.6156,                 1.4241,                0.33937,                0.34697,                0.31988,                0.16845,                0.34046,                   0.35,                0.34143,                0.13051,                 1.6217,                0.70933,                 2.5492,                  1.553,              0.0006565,              0.0006565,              0.0006565
                      7,                 1.4544,                0.78193,                  2.494,                 1.3432,                0.44151,                0.45808,                0.40543,                0.20564,                0.50361,                 0.5427,                0.47581,                0.20303,                 1.4964,                0.58149,                 2.3306,                 1.4482,             0.00051177,             0.00051177,             0.00051177
                      8,                 1.3823,                0.83902,                 2.3113,                 1.2955,                0.53682,                  0.394,                0.44734,                0.23596,                0.70097,                0.38384,                0.48329,                0.19298,                 1.4934,                0.65302,                 2.2036,                 1.4106,             0.00051177,             0.00051177,             0.00051177
                      9,                 1.3407,                0.80269,                 2.1799,                 1.2794,                0.47805,                0.59495,                0.52829,                0.31703,                0.56265,                0.63879,                0.61428,                0.27811,                 1.3265,                0.59757,                 2.0229,                 1.3141,             0.00034674,             0.00034674,             0.00034674
